발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
4408,강릉시,4799,0,1923,3782,2131,2145,0,1196,4148,5251,0,0,강원특별자치도,516,2023,341,0,1318,234,0,1456,0,0,강동면,8603,748,0,0,0,0,4737,12,0,722,3963,147,0,1551,1492,848,2292,2077,0,2344,6477,4194,3817,4366,0,52
1623,강릉시,1109,0,3734,5502,2405,2114,0,3006,3008,498,9,0,강원특별자치도,2310,2023,1190,0,5396,1108,0,5205,0,35,강문동,783,12,0,0,0,0,3462,314,0,2009,8400,585,0,1805,4007,705,6703,6462,0,4456,3970,5533,4570,6433,0,0
4360,강릉시,4937,0,4547,9718,3291,1473,0,3783,4808,2603,1,0,강원특별자치도,2287,2023,3755,0,6358,1205,0,6879,0,110,견소동,6475,808,0,0,0,0,5989,931,0,6498,10621,602,0,2224,9328,916,7163,5689,0,7537,7759,11045,8244,10354,0,1
42775,강릉시,38286,0,18635,36157,14615,12269,0,18247,46137,29668,419,0,강원특별자치도,11976,2023,14087,0,21032,7161,0,18633,0,162,교동,52049,3850,0,0,0,0,43318,9532,0,17191,54691,3264,0,12947,32758,5831,21252,15541,0,17624,40267,34200,18050,49582,0,667
214,강릉시,4198,0,433,31,18,130,0,42,671,4287,0,0,강원특별자치도,146,2023,48,0,50,3,0,18,0,0,구정면,1828,0,0,0,0,0,2672,0,0,219,256,0,0,517,422,2,365,488,0,50,3006,1170,660,2074,0,0
50,강릉시,58,0,17,63,53,147,0,30,36,14,0,0,강원특별자치도,8,2023,2,0,29,10,0,59,0,0,난곡동,15,0,0,0,0,0,38,0,0,11,113,0,0,31,76,4,54,66,0,27,86,118,42,70,0,0
157,강릉시,99,0,193,131,356,375,0,134,162,14,0,0,강원특별자치도,97,2023,53,0,223,56,0,216,0,0,남문동,389,0,0,0,0,0,135,0,0,50,155,0,0,419,86,195,219,201,0,220,121,225,320,165,0,0
499,강릉시,474,0,188,766,260,244,0,163,549,1263,0,0,강원특별자치도,140,2023,211,0,297,104,0,305,0,0,남항진동,906,1,0,0,0,0,713,0,0,299,828,35,0,160,1020,2,336,148,0,488,632,636,286,852,0,0
9988,강릉시,11494,0,3499,10208,2301,1961,0,4483,7394,11435,0,0,강원특별자치도,2334,2023,2117,0,3781,2505,0,2701,0,0,내곡동,11654,643,0,0,0,0,8649,1533,0,3308,13032,1882,0,2270,8296,730,3188,2496,0,2240,11907,10762,2851,12360,0,0
2062,강릉시,870,0,649,672,450,788,0,406,674,3447,0,0,강원특별자치도,164,2023,115,0,413,18,0,397,0,0,노암동,4093,0,0,0,0,0,753,52,0,182,1380,31,0,528,706,202,517,647,0,504,2218,1194,468,613,0,0
0,강릉시,428,0,25,0,0,0,0,0,0,392,0,0,강원특별자치도,15,2023,0,0,0,0,0,0,0,0,담산동,2,0,0,0,0,0,224,0,0,64,0,0,0,32,0,1,43,39,0,0,246,74,42,175,0,0
363,강릉시,476,0,128,372,123,970,0,140,305,293,8,0,강원특별자치도,106,2023,260,0,116,90,0,88,0,21,대전동,487,55,0,0,0,0,575,65,0,429,543,56,0,481,1649,412,103,275,0,97,471,761,121,432,0,25
120,강릉시,110,0,1,58,3,11,0,13,143,179,0,0,강원특별자치도,0,2023,10,0,0,0,0,1,0,0,두산동,233,0,0,0,0,0,162,0,0,25,23,0,0,9,65,1,3,9,0,17,104,154,4,53,0,0
842,강릉시,665,0,1016,1009,1030,1017,0,883,1183,366,0,0,강원특별자치도,286,2023,325,0,876,116,0,931,0,0,명주동,1000,0,0,0,0,0,735,129,0,359,2354,33,0,946,1048,876,930,587,0,1340,953,1531,1129,3456,0,0
0,강릉시,734,0,12,0,45,42,0,21,4,3,0,0,강원특별자치도,0,2023,0,0,27,0,0,40,0,0,박월동,455,0,0,0,0,0,234,0,0,49,1,0,0,1,3,0,0,6,0,107,181,42,8,70,0,0
658,강릉시,488,0,119,724,281,465,0,82,683,312,0,0,강원특별자치도,67,2023,227,0,159,17,0,214,0,0,병산동,517,0,0,0,0,0,1449,0,0,286,230,10,0,305,332,3,188,215,0,467,588,853,510,730,0,0
10501,강릉시,10531,0,2737,13041,3948,8124,0,2293,8296,6738,52,0,강원특별자치도,1572,2023,1716,0,3459,914,0,5234,0,184,사천면,8467,943,0,0,0,0,12633,532,0,3329,11983,634,0,5993,8906,3384,4296,4279,0,4673,11357,9729,4551,12693,0,787
6933,강릉시,3194,0,1812,8221,3481,4173,0,1798,7868,2402,0,0,강원특별자치도,756,2023,2055,0,2298,387,0,2556,0,0,성남동,2902,879,0,0,0,0,5882,584,0,2563,9971,97,0,5410,5806,2679,2188,4899,0,2106,8231,7861,4235,9684,0,29
4306,강릉시,5166,0,1223,4649,1566,1843,0,777,3885,3482,0,0,강원특별자치도,792,2023,366,0,1270,423,0,1146,0,0,성산면,4555,706,0,0,0,0,4008,109,0,1173,5143,30,0,618,1716,472,831,1021,0,994,5049,6234,1195,4453,0,64
10862,강릉시,12072,0,5799,11206,3656,3764,0,5804,13604,10842,52,0,강원특별자치도,3274,2023,3273,0,7209,2615,0,6339,0,169,송정동,21634,1800,0,0,0,0,13534,1411,0,4854,21949,1417,0,3543,10616,1629,7020,5733,0,6181,12925,13085,6108,14308,0,36
167,강릉시,0,0,12,0,3,0,0,0,0,1,0,0,강원특별자치도,0,2023,0,0,0,0,0,0,0,0,신석동,0,261,0,0,0,0,74,0,0,0,0,0,0,10,0,0,8,4,0,0,0,62,0,80,0,1
4247,강릉시,4333,0,2552,5617,2225,2259,0,2663,5058,1211,0,0,강원특별자치도,2000,2023,1950,0,3813,973,0,4137,0,0,안현동,2091,19,0,0,0,0,6097,1,0,1830,5922,408,0,2634,5274,271,4837,3075,0,2444,3966,7172,3053,6536,0,0
13143,강릉시,16101,0,4971,11942,5653,5980,0,4127,15405,10986,115,0,강원특별자치도,2458,2023,2209,0,6579,1381,0,6749,0,261,연곡면,17848,1993,0,0,0,0,15021,972,0,3953,10016,785,0,6356,8638,4287,7096,7901,0,6913,14786,9759,6315,12513,0,888
4569,강릉시,4342,0,159,919,773,681,0,457,1838,4538,0,0,강원특별자치도,1,2023,2,0,201,213,0,271,0,0,옥계면,3388,21,0,0,0,0,1617,0,0,54,550,0,0,578,848,381,474,352,0,253,2841,605,1039,2327,0,9
31902,강릉시,25929,0,21671,42032,23411,19730,0,17892,39040,17045,292,0,강원특별자치도,8325,2023,18388,0,21946,6131,0,21396,0,27,옥천동,25534,3723,0,0,0,0,36699,7323,0,21884,56222,1203,0,20777,38278,9947,25217,23650,0,21969,41251,53109,24109,50260,0,1165
997,강릉시,47,0,97,402,192,212,0,45,202,1093,0,0,강원특별자치도,164,2023,0,0,263,0,0,183,0,0,왕산면,2531,59,0,0,0,0,602,0,0,135,18,0,0,45,47,64,14,217,0,141,1063,433,388,519,0,138
2439,강릉시,2285,0,5019,2912,5238,3923,0,4656,2904,2890,48,0,강원특별자치도,2707,2023,1132,0,6255,1784,0,5144,0,24,용강동,3793,267,0,0,0,0,2805,738,0,1897,3746,1072,0,4276,4292,2903,5319,5594,0,6612,3224,4019,6475,3439,0,220
321,강릉시,355,0,10,6,2,3,0,1,17,17,0,0,강원특별자치도,1,2023,0,0,1,0,0,2,0,0,운산동,51,231,0,0,0,0,218,0,0,7,3,5,0,30,2,2,15,32,0,6,5,25,0,104,0,0
199,강릉시,166,0,82,293,106,90,0,52,205,37,0,0,강원특별자치도,28,2023,54,0,90,11,0,136,0,0,운정동,157,0,0,0,0,0,221,2,0,61,221,1,0,109,169,6,156,186,0,136,371,250,188,378,0,0
126,강릉시,786,0,20,65,47,23,0,1,81,196,0,0,강원특별자치도,0,2023,2,0,11,0,0,19,0,0,월호평동,285,195,0,0,0,0,612,3,0,13,19,3,0,17,42,4,62,38,0,23,108,62,20,208,0,0
112,강릉시,340,0,30,31,35,6,0,10,27,55,0,0,강원특별자치도,79,2023,0,0,13,1,0,13,0,0,유산동,292,2,0,0,0,0,260,4,0,23,62,0,0,37,64,19,73,50,0,37,199,83,35,103,0,1
2210,강릉시,2416,0,972,3606,679,719,0,1605,2535,2304,0,0,강원특별자치도,608,2023,599,0,1026,320,0,1148,0,0,유천동,785,3,0,0,0,0,2909,495,0,1295,5936,107,0,966,3643,237,1044,896,0,1297,2529,3728,980,3896,0,0
30421,강릉시,26703,0,27624,48287,33957,22574,0,22670,42346,16256,935,0,강원특별자치도,12092,2023,29654,0,33553,7265,0,34762,0,150,임당동,25191,2174,0,0,0,0,37572,14095,0,36413,64003,4201,0,29270,53857,11502,34294,32060,0,33708,46189,61711,37983,58001,0,587
10967,강릉시,15309,0,2765,6931,1631,1720,0,2693,7881,17415,1,0,강원특별자치도,1129,2023,1252,0,4241,1003,12,3569,0,68,입암동,13229,3265,0,0,0,0,9473,244,0,2079,7653,613,0,1243,5411,445,2894,2025,0,2926,11840,7621,2258,7120,0,19
0,강릉시,113,0,8,0,0,0,0,0,0,324,0,0,강원특별자치도,5,2023,0,0,0,0,0,0,0,0,장현동,0,0,0,0,0,0,96,0,0,3,0,0,0,89,0,0,14,28,0,0,139,65,12,56,0,0
292,강릉시,267,0,293,469,159,255,0,200,440,217,0,0,강원특별자치도,154,2023,156,0,287,70,0,307,0,0,저동,223,0,0,0,0,0,379,0,0,225,355,20,0,159,219,1,323,256,0,202,332,370,330,540,0,0
27804,강릉시,27690,0,12757,31673,14034,11333,0,8626,30743,21576,257,0,강원특별자치도,5843,2023,8364,0,15829,3244,0,17326,0,617,주문진읍,27603,4758,0,0,0,0,32793,4847,0,13162,34910,1649,0,13395,20300,7391,16898,18208,0,18047,32768,30684,17661,32658,0,304
3642,강릉시,2738,0,1956,4581,2263,2761,0,1819,3957,1206,218,0,강원특별자치도,1124,2023,1676,0,1926,820,0,2291,0,57,죽헌동,2119,376,0,0,0,0,4565,1325,0,1543,5484,353,0,2164,4278,999,2292,2340,0,2076,5314,4897,2295,4596,0,300
1254,강릉시,1717,0,391,1861,147,110,0,626,1904,1081,0,0,강원특별자치도,454,2023,259,0,463,314,0,305,0,0,지변동,1860,0,0,0,0,0,1713,407,0,594,6006,63,0,75,1263,63,309,272,0,280,1074,1304,210,2119,0,0
38,강릉시,131,0,15,124,18,18,0,7,71,110,0,0,강원특별자치도,12,2023,4,0,34,0,0,28,0,0,청량동,48,0,0,0,0,0,148,4,0,8,26,17,0,25,62,33,22,23,0,14,82,8,22,40,0,0
4181,강릉시,4654,0,1950,4183,3299,1876,0,1092,5223,2973,0,0,강원특별자치도,737,2023,2239,0,1811,408,0,3557,0,2,초당동,5821,1123,0,0,0,0,2972,660,0,2886,10585,226,0,1417,4556,730,2463,5150,0,4076,5082,5257,3592,6528,0,49
24749,강릉시,30742,0,10507,24199,7812,7138,0,11082,26780,26661,127,0,강원특별자치도,5448,2023,8289,0,11480,4013,0,10554,0,254,포남동,39265,5306,0,0,0,0,26521,3565,0,11008,24177,2043,0,7074,21094,2881,11497,11593,0,11132,27708,24657,10341,25603,0,344
2,강릉시,5,0,14,4,106,39,0,7,10,1,0,0,강원특별자치도,7,2023,0,0,63,2,0,70,0,0,학동,9,1,0,0,0,0,10,0,0,0,2,0,0,49,4,0,53,69,0,92,5,8,37,4,0,0
19857,강릉시,19960,0,8901,21293,6446,6101,0,9017,23176,17401,0,0,강원특별자치도,4231,2023,5698,0,10151,2083,0,9760,0,0,홍제동,14553,78,0,0,0,0,20847,2422,0,7806,17628,292,0,6739,12948,3665,9347,7363,0,8305,25300,13219,9078,19290,0,39
4060,강릉시,5350,0,1018,3410,330,1161,0,607,4522,5307,0,0,강원특별자치도,575,2023,546,0,555,605,0,719,0,0,회산동,9331,0,0,0,0,0,2055,196,0,721,2564,7,0,289,1610,17,1318,590,0,1176,3075,2395,404,1923,0,0
6109,고성군,5922,0,1149,5486,1553,1242,0,1430,5290,7482,1,0,강원특별자치도,553,2023,2763,0,1329,295,0,1205,0,57,간성읍,7601,1576,0,0,0,0,6547,1907,0,2727,9094,158,0,1621,6726,1029,1192,1556,0,1279,5955,8167,1191,5544,0,13
3754,고성군,3391,0,543,2983,574,905,0,504,3594,5495,9,0,강원특별자치도,213,2023,651,0,492,84,0,543,0,2,거진읍,7716,1824,0,0,0,0,3319,175,0,1112,3303,83,0,540,1949,474,790,540,0,620,4006,3111,747,3406,0,28
