시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
경기도,가평군,가평읍,2023,962,60,10107,3844,29753,19674,64708,47402,120824,162788,69870,89881,88084,91265,125632,113918,91207,103842,77520,98670,93574,102886,100750,95271,105377,75440,137071,94262,102884,81253,51172,59748,28798,32282,23180,24783,14403,20702,4939,14066,170,4660,3,1167,7,755,0,79
경기도,가평군,북면,2023,0,1,346,44,1108,818,13053,7629,12563,7081,10343,9355,10753,9421,10317,5612,5139,7734,8738,6699,4947,4583,8644,9121,9817,7288,6862,13200,5592,6822,2403,3977,2142,4753,415,1787,98,1502,0,0,0,0,0,0,0,0,0,0
경기도,가평군,상면,2023,283,32,792,21,2999,545,6847,4239,10191,9882,8714,10096,10051,12406,9260,8665,10270,10247,8514,8430,8780,7735,9466,10018,7577,8964,9580,12034,5958,8518,3517,7989,2523,4189,1124,3458,479,2553,260,2056,122,1493,269,920,17,250,8,72
경기도,가평군,설악면,2023,0,0,4653,253,13827,2787,28846,16251,35634,34826,31670,18979,29807,22502,31680,25599,27069,29491,20207,24762,31379,23439,30959,22054,29517,27349,31702,27714,26447,24790,12842,21088,10423,18091,5503,16564,2784,9335,1169,6958,343,5887,33,1578,0,16,0,0
경기도,가평군,조종면,2023,910,2,1970,348,2975,1013,15977,4756,14280,17190,11878,8137,11797,8999,10641,10575,7504,7705,10942,10689,9165,8402,9292,10755,12565,10133,8769,11404,12093,12803,5866,10394,3250,5123,2914,4662,2698,4095,1854,3332,210,2080,69,1151,10,652,51,357
경기도,가평군,청평면,2023,3269,21,55235,5338,71660,23762,103929,51734,128389,118099,115341,89580,128794,102245,154261,100458,109625,102085,100953,119025,110371,154761,116342,126212,118535,120819,121176,128387,84027,104988,50771,80349,31904,57298,23794,41251,16641,34301,7355,27602,2129,9955,615,3455,285,1506,486,130
경기도,고양시,가좌동,2023,390,5,22804,1876,58369,9394,97298,23259,105843,68480,78318,21090,61961,22896,57039,25751,53614,30893,58176,36059,49433,37289,53757,52208,62451,64722,77648,74243,53899,88477,25167,91401,17922,73870,15133,67137,12287,79755,6390,51416,439,16527,80,2276,7,701,1,74
경기도,고양시,강매동,2023,17,1,48019,18809,166935,61106,471974,77933,401024,126480,198700,92523,152066,70636,151317,98340,138503,98738,115155,120708,102485,108205,98071,123580,143906,188962,181350,248445,126227,457676,86134,347973,97695,179372,79002,166659,74893,145177,34697,86939,1313,34478,12,8,0,1,0,0
경기도,고양시,고양동,2023,15034,1669,49388,6892,103427,23914,191119,53161,232391,124772,152401,72790,130324,69529,121752,73691,119342,87473,116834,95640,108459,98805,117338,125163,130753,157909,127503,169856,107187,179489,72178,174169,62369,131621,45230,108753,35150,109567,15467,56976,8058,29293,110,869,0,0,0,0
경기도,고양시,관산동,2023,9618,903,48176,9570,95808,30464,186602,82973,189928,131470,141191,83115,127379,76962,118623,79036,122488,87053,107294,92306,94249,95735,123013,117285,131955,150842,124085,152687,114014,167301,66899,138453,52210,104641,46559,100775,36152,95048,14752,55746,7150,24509,3118,8079,975,2060,316,593
경기도,고양시,구산동,2023,0,0,212,1,2891,1119,4469,4720,5604,10173,4073,5125,3205,2828,2475,2181,2009,1965,3369,3308,2061,2021,2624,3098,3377,4929,4580,4115,4395,4797,1255,4689,685,2490,928,3916,486,3319,151,2050,64,827,26,168,7,28,0,0
경기도,고양시,내곡동,2023,0,0,10,229,2005,300,6678,1488,3873,1943,2876,1596,1474,1498,1425,1526,2077,2495,1812,1841,1705,1693,1705,1766,1646,1613,1968,2104,1390,2167,983,1500,868,1021,324,1071,181,690,46,116,1,0,0,0,0,0,0,0
경기도,고양시,내유동,2023,7712,478,31491,3330,73620,15093,128986,39773,127349,43829,82003,25525,64135,29118,58012,33028,53071,39357,56504,40348,46589,43346,45160,62804,47866,74394,55898,87942,52289,83378,26418,85661,20868,70659,16002,61593,11840,60673,6421,42117,4032,17998,1566,5466,483,1935,1229,701
경기도,고양시,대자동,2023,2034,2110,10162,7903,23740,28480,36692,49462,51859,75543,37292,81125,36045,59597,41652,52092,51157,57559,52871,46267,56309,43338,65806,43873,72915,46420,81086,49080,65834,52040,34192,40713,34191,34024,26403,28930,17437,26030,7093,16074,3157,6577,442,1481,68,277,14,90
