발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
0,거제시,744,0,40,443,0,25,0,24,278,185,126,0,경상남도,0,2023,2,0,38,35,0,3,0,8,고현동,671,0,0,0,0,0,0,290,0,7,3,40,0,3,375,13,0,24,0,57,580,417,50,0,0,0
151,거제시,419,0,84,375,5,8,0,29,184,450,60,0,경상남도,4,2023,116,0,67,25,0,29,0,50,덕포동,431,61,0,0,0,0,205,308,0,83,232,45,0,45,142,2,4,30,0,27,467,378,67,30,0,11
10696,거제시,10627,0,3242,6727,3677,2326,109,2844,6689,9309,1974,0,경상남도,1811,2023,2951,0,3714,765,927,3357,0,468,사등면,12332,3916,0,50,0,0,6819,1602,0,2687,7440,470,7,2098,4392,1564,3152,3903,0,3800,7934,6469,3892,5206,0,1020
0,거제시,2982,0,522,1405,0,138,0,118,841,1166,832,0,경상남도,3,2023,21,0,421,286,0,21,0,65,연초면,3098,1,0,0,0,0,10,1080,0,98,26,270,0,24,1740,198,0,363,0,480,1807,1632,269,1,0,2
191,거제시,11159,0,1125,5859,4,239,0,105,3952,4463,3583,0,경상남도,33,2023,69,0,1017,615,0,88,0,38,옥포동,12433,5,0,0,0,0,88,4386,0,3439,134,792,0,66,8295,546,1,740,0,881,7115,8051,469,37,0,157
2176,거제시,2559,0,231,2673,198,80,36,70,683,313,233,0,경상남도,60,2023,217,0,162,91,0,159,0,37,장목면,1980,319,0,0,0,0,770,303,0,684,1108,74,2,58,1577,55,192,325,0,323,2336,1766,180,1363,0,14
0,거창군,1,0,0,1,0,0,0,0,0,0,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,가북면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,거창군,2,0,0,8,0,0,0,0,0,100,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,거창읍,6,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0
0,거창군,1,0,0,0,0,0,0,0,0,2,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,남상면,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,거창군,1,0,0,0,0,0,0,0,0,3,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,신원면,0,0,0,0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
372,고성군,1238,0,0,18,0,0,0,0,300,1085,0,0,경상남도,0,2023,1,0,0,0,0,0,0,0,개천면,1275,624,0,0,0,0,332,0,0,0,174,0,0,0,32,0,0,0,0,0,234,27,0,189,0,0
4197,고성군,6485,0,47,2203,13,9,0,13,2879,5207,1,0,경상남도,16,2023,426,1,0,47,0,16,0,0,거류면,6295,378,0,0,0,0,1421,44,0,770,3340,0,0,95,546,10,0,0,0,1,3990,1577,87,898,0,24
18478,고성군,14951,0,114,10243,49,0,0,12,19798,18184,0,0,경상남도,0,2023,4831,0,47,12,10,3,0,0,고성읍,20203,1838,0,0,0,0,17596,2390,0,6126,15422,15,0,9,4179,0,0,4,0,6,18923,11843,16,12360,0,0
19,고성군,1310,0,0,11,0,0,0,0,731,523,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,구만면,2232,6,0,0,0,0,649,0,0,5,166,0,0,0,0,0,0,0,0,0,47,76,0,230,0,0
993,고성군,1640,0,0,475,0,0,0,0,651,2885,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,대가면,1125,185,0,0,0,0,396,0,0,6,303,0,0,0,78,0,0,0,0,0,540,159,0,291,0,0
2115,고성군,3346,0,0,904,0,0,0,0,1615,6231,0,0,경상남도,0,2023,3,0,0,0,0,0,0,0,동해면,3335,527,0,0,0,0,929,3,0,32,614,0,0,0,188,0,0,0,0,0,961,266,0,524,0,0
354,고성군,877,0,0,396,0,0,0,0,134,1187,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,마암면,2001,0,0,0,0,0,557,0,0,5,25,0,0,0,21,0,0,0,0,0,304,61,0,157,0,0
678,고성군,1191,0,0,327,0,0,0,0,445,1987,0,0,경상남도,0,2023,4,0,0,0,0,0,0,0,삼산면,996,125,0,0,0,0,566,0,0,26,154,0,0,0,173,0,0,0,0,0,330,1,0,279,0,0
1226,고성군,1759,0,0,1197,0,0,0,0,519,1163,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,상리면,1864,6,0,0,0,0,927,0,0,0,358,0,0,0,103,0,0,0,0,0,68,351,0,86,0,0
1767,고성군,1206,0,0,841,0,0,0,0,870,561,0,0,경상남도,0,2023,32,0,0,0,0,0,0,0,영오면,1696,283,0,0,0,0,1032,34,0,9,818,0,0,0,471,0,0,0,0,0,981,825,0,456,0,0
633,고성군,94,0,0,343,0,0,0,0,94,1196,0,0,경상남도,0,2023,0,0,0,0,0,0,0,0,영현면,1925,155,0,0,0,0,304,0,0,1,74,0,0,0,5,0,0,0,0,0,185,81,0,232,0,0
1703,고성군,2765,0,59,744,109,28,0,136,760,2551,23,0,경상남도,20,2023,347,0,106,23,898,84,0,2,하이면,2185,191,0,0,0,0,881,50,0,152,749,8,0,54,495,19,73,110,0,76,1117,662,46,796,0,15
206,고성군,216,0,0,176,0,0,0,0,17,124,0,0,경상남도,5,2023,16,0,0,1,0,7,0,0,하일면,407,138,0,0,0,0,28,0,0,12,0,0,0,0,7,8,0,0,0,0,270,17,15,0,0,4
2114,고성군,2157,0,0,1532,0,0,0,0,1889,2658,0,0,경상남도,0,2023,254,0,0,0,0,0,0,0,회화면,1986,8,0,0,0,0,981,34,0,1651,1490,0,0,0,255,0,0,0,0,0,1071,2213,0,1058,0,0
1,김해시,32,0,17,4,4,1,0,0,0,1,1,0,경상남도,3,2023,0,0,2,0,0,1,0,0,강동,39,2,0,0,0,0,71,3,0,5,4,0,0,21,4,0,8,9,0,0,12,8,5,4,0,1
29814,김해시,35071,0,10433,29019,6615,7580,4204,10790,30853,38020,14368,370,경상남도,8223,2023,16774,0,9421,6856,3805,8521,0,7245,관동동,42488,13419,0,662,0,0,28553,18088,171,20308,32860,7191,2186,7069,29688,4576,8777,7368,0,8636,31009,32407,8387,30062,0,2232
