발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
3457,경산시,3298,0,9390,4471,6852,6648,338,9581,3569,3310,1450,0,경상북도,7088,2023,2346,0,8511,6094,880,8101,0,4690,계양동,4118,2248,0,283,0,0,2974,2748,0,3608,4658,5711,1735,6262,5178,5364,8001,7560,0,7840,4077,5638,7884,5100,0,3619
165528,경산시,146493,0,180956,243568,222276,323882,50221,207085,199110,134019,165711,1,경상북도,153394,2023,161772,7,157430,121293,41802,166253,0,164492,대동,188644,58694,0,1509,0,0,179642,174793,24,184204,386696,124745,107361,172054,308072,72137,125735,169106,0,157087,229971,413338,191689,261091,0,40107
524,경산시,217,0,134,238,214,316,5,109,308,68,26,0,경상북도,93,2023,195,0,159,81,11,225,0,58,대정동,155,68,0,7,0,0,360,136,0,192,254,71,11,257,548,129,175,255,0,175,236,621,257,375,0,65
16033,경산시,19957,0,4867,14558,2931,3754,352,5832,16093,20636,5044,0,경상북도,3829,2023,8405,0,4127,2861,2300,3530,0,1807,대평동,25989,8017,0,470,0,0,16237,7166,0,10049,16157,2479,606,2985,17092,3941,3755,3160,0,3419,16190,18539,3448,15619,0,2212
3389,경산시,3704,0,71,2820,222,457,40,141,395,969,1103,0,경상북도,423,2023,1556,0,407,410,1559,288,0,103,백천동,3149,845,0,12,0,0,2914,1704,0,1698,3469,396,24,289,472,55,364,182,0,11,1759,1456,257,2766,0,45
28746,경산시,31479,0,12267,29338,11513,4874,1437,10488,23269,5684,12526,0,경상북도,6397,2023,22263,0,11426,6415,4717,9024,0,4297,사동,25144,4996,0,64,0,0,30640,21790,0,20232,46560,6251,902,12645,29446,1868,10808,11194,0,9620,24728,37211,8050,36148,0,1907
15932,경산시,13501,0,6935,15632,6018,4220,2523,6448,10946,11500,12502,0,경상북도,5136,2023,15615,0,6157,3016,1650,6058,0,2488,사정동,14725,4985,0,1876,0,0,14838,14674,0,19055,26339,3535,698,3978,26140,3891,6146,4237,0,4937,15127,16266,5333,18358,0,2521
715,경산시,1845,0,0,1076,5,6,0,8,0,0,0,0,경상북도,7,2023,0,0,0,0,637,8,0,2,삼풍동,714,2,0,15,0,0,0,0,0,753,0,0,0,12,1128,0,5,0,0,0,1007,6,5,681,0,0
38835,경산시,46984,0,23682,31725,12854,21827,449,21599,36229,43448,8450,0,경상북도,13526,2023,14140,1,16067,8315,14503,15128,0,9209,압량읍,62551,23674,0,4468,0,0,31787,15407,3,20273,35025,10563,2834,16204,37803,14608,11533,10125,0,15407,35191,43561,15941,30109,0,8989
6797,경산시,7033,0,384,8099,1083,1289,385,896,1254,5132,1927,0,경상북도,1790,2023,5883,0,1970,1367,2389,1709,0,588,옥곡동,7812,2386,0,34,0,0,7035,7402,0,5713,11459,1625,175,1701,2512,393,1990,603,0,251,4616,3709,1675,11729,0,107
28399,경산시,30756,0,8448,23644,6343,7202,3111,10643,18456,28844,11710,0,경상북도,9558,2023,15349,0,9363,7061,7815,7895,0,3660,옥산동,36070,15038,0,629,0,0,22896,17810,0,15977,22736,6782,1379,5536,20684,6281,9332,5270,0,5599,20504,21322,6623,22986,0,4535
719,경산시,657,0,336,895,233,159,3,215,692,632,66,0,경상북도,195,2023,350,0,316,162,283,236,0,69,와촌면,1148,182,0,15,0,0,808,237,0,556,762,122,67,232,769,390,287,275,0,245,947,924,230,680,0,82
0,경산시,0,0,0,0,0,0,0,0,0,0,0,0,경상북도,0,2023,0,0,0,0,0,0,0,0,용성면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,경산시,0,0,0,0,0,0,0,0,0,0,0,0,경상북도,0,2023,0,0,0,0,0,0,0,0,자인면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115798,경산시,148935,0,146679,93201,50186,66689,9060,196711,114120,175264,30455,0,경상북도,120090,2023,39087,24,124824,81957,27620,79990,0,80490,정평동,240530,58428,0,1478,0,0,110711,35919,0,55734,84749,83397,54523,44051,102963,25648,100569,59480,0,67679,112598,98461,72921,86800,0,14437
136426,경산시,134716,0,142891,140723,81067,122018,10515,167539,159504,174610,45565,0,경상북도,103843,2023,76677,17,117319,72992,28825,93549,0,69624,중방동,212630,56847,0,4474,0,0,137387,76977,8,101065,171261,75831,31284,87018,185691,69296,108263,81315,0,87999,144194,201667,91078,146374,0,34457
13844,경산시,16477,0,13117,12048,8615,12329,828,15255,12315,24317,4281,0,경상북도,9212,2023,5357,0,10970,5983,2087,9916,0,4701,중산동,24850,6895,0,862,0,0,11060,5412,0,8054,11029,6077,1297,9231,12831,7978,9708,8043,0,9573,13159,12837,10426,10859,0,4171
