발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
1349,광산구,954,0,332,2343,192,1562,0,318,1607,2741,294,0,광주광역시,520,2023,4380,0,314,234,300,464,0,209,고룡동,2221,1120,0,0,0,0,1171,1054,0,5362,3630,171,50,440,6646,2260,267,224,0,472,1550,15358,242,2134,0,579
406,광산구,1,0,3,14,49,94,0,9,163,117,0,0,광주광역시,10,2023,11,0,31,1,0,25,0,2,광산동,204,33,0,0,0,0,16,0,0,2,8,0,0,80,95,129,1,38,0,4,112,104,18,165,0,1
559,광산구,638,0,110,548,95,85,0,96,484,993,13,0,광주광역시,75,2023,84,0,154,36,0,118,0,32,남산동,1083,318,0,0,0,0,414,25,0,186,660,93,0,82,240,31,136,75,0,94,225,880,103,557,0,74
289,광산구,27,0,21,35,2,6,0,2,161,535,0,0,광주광역시,21,2023,4,0,9,15,0,9,0,15,내산동,375,32,0,0,0,0,19,7,0,24,169,13,0,8,138,1,8,14,0,11,116,17,7,168,0,1
463,광산구,144,0,47,28,20,66,0,5,258,712,0,0,광주광역시,16,2023,24,0,13,101,0,100,0,4,대산동,703,130,0,0,0,0,50,4,0,15,411,84,0,45,139,12,79,111,0,151,341,49,5,465,0,45
0,광산구,285,0,0,0,0,0,0,23,42,143,1,0,광주광역시,0,2023,0,0,1,0,0,0,0,0,덕림동,0,0,0,0,0,0,0,1,0,66,277,5,0,219,0,1,88,0,0,108,135,0,0,0,0,29
884,광산구,777,0,365,610,263,363,0,549,670,729,52,0,광주광역시,159,2023,92,0,379,101,0,272,0,34,도덕동,1180,164,0,0,0,0,533,59,0,401,610,71,13,267,617,199,335,226,0,276,619,670,238,625,0,182
23638,광산구,32485,0,15589,22607,6692,12009,53,21105,23731,62705,6871,0,광주광역시,9107,2023,14296,0,11741,6188,4527,8315,0,4123,도산동,60208,17697,0,108,0,0,20037,16395,4,20013,27383,5825,721,8319,33630,10296,8979,7155,0,8692,26552,34014,8662,22934,0,2397
6047,광산구,7613,0,3681,8762,1994,4894,57,3933,7142,18348,1689,0,광주광역시,2766,2023,4744,0,3244,1730,385,2060,0,1162,도천동,18716,4782,0,7,0,0,5583,3543,0,7506,9842,1404,288,2523,15211,2738,2993,2110,0,2532,8256,14519,2472,8616,0,1375
499,광산구,732,0,78,174,27,46,0,30,576,449,0,0,광주광역시,62,2023,90,0,27,83,0,46,0,143,동림동,1146,32,0,0,0,0,424,7,0,72,94,96,0,10,143,5,76,52,0,49,276,166,59,124,0,3
483,광산구,561,0,58,96,3,36,0,11,29,755,0,0,광주광역시,12,2023,5,0,5,16,0,104,0,0,동산동,753,160,0,0,0,0,275,8,0,40,158,8,0,77,166,7,46,165,0,177,556,14,2,97,0,139
412,광산구,575,0,28,15,78,7,0,11,386,193,0,0,광주광역시,13,2023,27,0,87,9,0,12,0,5,동호동,763,12,0,0,0,0,495,8,0,34,143,7,0,40,100,11,27,34,0,43,307,134,64,158,0,3
6,광산구,0,0,0,51,2,1,0,0,0,0,0,0,광주광역시,6,2023,0,0,1,0,0,2,0,0,두정동,39,0,0,0,0,0,15,0,0,6,2,0,0,0,0,0,0,0,0,0,0,171,1,0,0,0
233,광산구,384,0,0,128,169,1,0,86,457,213,0,0,광주광역시,0,2023,1,0,0,0,0,18,0,2,등임동,440,107,0,0,0,0,81,0,0,92,7,5,0,1,171,1,8,0,0,3,0,187,0,341,0,5
276,광산구,612,0,30,282,58,9,0,20,209,122,0,0,광주광역시,21,2023,14,0,56,7,0,75,0,3,명도동,756,254,0,0,0,0,150,2,0,36,71,5,0,25,77,33,58,68,0,73,48,56,49,85,0,25
63,광산구,296,0,51,149,0,1,0,22,136,311,0,0,광주광역시,4,2023,48,0,0,1,0,57,0,0,명화동,0,183,0,0,0,0,0,32,0,123,3,2,0,41,0,18,17,20,0,38,54,232,0,138,0,75
283,광산구,171,0,181,556,193,199,1,288,519,204,32,0,광주광역시,129,2023,115,0,233,62,49,217,0,24,박호동,476,326,0,0,0,0,434,66,0,207,661,48,7,111,495,154,237,199,0,129,501,1857,102,629,0,50
631,광산구,699,0,1113,653,731,1314,0,1580,916,948,175,0,광주광역시,674,2023,306,0,944,535,11,637,0,340,복룡동,964,226,0,22,0,0,603,317,1,508,652,482,12,754,781,1448,646,684,0,723,916,1642,714,674,0,559
7,광산구,8,0,26,28,47,45,0,11,16,779,1,0,광주광역시,12,2023,38,0,44,25,0,53,0,4,본덕동,12,0,0,0,0,0,14,2,0,19,58,7,2,60,32,29,51,62,0,48,176,66,101,46,0,11
358,광산구,551,0,53,389,39,19,0,18,214,391,2,0,광주광역시,26,2023,14,0,102,9,0,48,0,9,북산동,678,465,0,0,0,0,144,5,0,83,172,11,0,17,120,15,109,48,0,74,129,160,52,123,0,62
6628,광산구,7623,0,3347,6657,2317,2657,45,2472,6667,11957,1387,0,광주광역시,1344,2023,2977,0,2394,1082,84,2012,0,439,비아동,15067,4109,0,0,0,0,6939,1860,0,5194,9563,684,15,2435,9086,1527,2013,2414,0,1575,7710,10043,1613,7116,0,1523
97,광산구,112,0,13,49,11,5,0,8,90,130,1,0,광주광역시,1,2023,1,0,10,1,3,8,0,3,사호동,106,101,0,0,0,0,50,17,0,9,37,0,1,1,18,9,10,7,0,18,91,22,8,64,0,0
177,광산구,146,0,6,475,15,0,0,11,214,68,11,0,광주광역시,37,2023,26,0,23,18,0,36,0,2,산막동,133,23,0,0,0,0,54,4,0,40,4,2,0,31,99,44,5,24,0,14,1,491,2,171,0,0
241,광산구,290,0,37,132,24,27,0,21,20,1076,0,0,광주광역시,17,2023,2,0,48,13,0,24,0,7,산수동,426,129,0,0,0,0,160,3,0,22,58,5,0,15,40,38,23,31,0,35,181,28,21,80,0,11
41903,광산구,44582,0,26594,35281,16710,30241,593,28364,43392,65817,14100,0,광주광역시,18195,2023,18178,0,22972,12084,2573,17997,0,10271,산월동,67613,17568,0,650,0,0,42756,18570,2,22712,57921,11933,1915,22701,39030,22158,19836,15469,0,18174,35661,56957,20159,56016,0,10987
20337,광산구,26942,0,13161,18610,4944,7955,447,12835,20164,64405,6207,0,광주광역시,8387,2023,11250,0,9326,5484,3567,6742,0,3987,산정동,54337,15161,0,104,0,0,18159,8618,0,15737,26447,4960,931,5691,29383,8652,8060,5765,0,6640,19683,27826,6866,21917,0,2287
127,광산구,124,0,36,144,81,489,0,55,399,36,5,0,광주광역시,61,2023,24,0,241,44,0,73,0,28,삼거동,503,41,0,0,0,0,75,29,0,95,284,39,6,76,373,227,61,38,0,36,168,600,66,237,0,0
107,광산구,295,0,25,9,1,108,0,22,149,84,1,0,광주광역시,25,2023,9,0,2,36,0,58,0,0,삼도동,54,229,0,0,0,0,6,1,0,61,120,27,0,24,22,115,38,36,0,39,150,135,2,160,0,7
