발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
0,군위군,0,0,0,0,0,0,0,0,0,30,0,0,대구광역시,0,2023,0,0,0,0,0,0,0,0,소보면,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0
1028055,남구,1103822,0,947528,1174845,667129,1161373,98694,1048180,1200056,959202,375175,0,대구광역시,650694,2023,576866,6,891443,490155,207909,746958,0,356902,대명동,1380069,436857,0,66137,0,0,1100055,534236,0,767802,1513965,437684,166701,785717,1449661,503054,821250,671382,0,707693,1206765,1522580,771698,1343910,0,259290
164575,남구,185993,0,94176,194592,60720,82999,7259,98053,202352,188242,53131,0,대구광역시,60331,2023,83797,0,88165,42492,30146,73916,0,29782,봉덕동,224161,73558,0,8605,0,0,179092,76634,0,119391,225770,38419,7187,70092,224064,54734,83539,62649,0,70684,204048,226552,72489,218253,0,26394
59821,남구,65846,0,54571,59852,29271,60139,6008,65756,69381,77002,23509,0,대구광역시,38829,2023,46003,0,46597,24961,10754,31884,0,18122,이천동,89356,28231,0,2896,0,0,61246,31764,0,47119,80313,20859,8390,35528,91839,22007,36704,27797,0,32443,64111,81179,32379,72225,0,12394
7225,달서구,5682,0,24561,19135,5691,18554,110,25530,13041,6503,7799,0,대구광역시,11540,2023,37388,3,9819,10911,3481,6437,0,2846,갈산동,13246,3438,0,297,0,0,9478,20602,0,25698,29757,5228,716,8170,74800,17419,7646,5125,0,6333,12866,64063,6749,25475,0,9363
200885,달서구,219867,0,236235,227956,124979,211093,26105,309495,233317,254379,99384,0,대구광역시,161418,2023,141305,3,209828,112998,37301,157942,0,102098,감삼동,324979,97784,0,15628,0,0,216403,135672,0,182151,288665,108336,51900,137454,316067,101019,170171,123898,0,138705,231658,314614,145355,253938,0,75773
144802,달서구,187299,0,149707,134681,68540,118222,9836,179484,145189,231058,42713,0,대구광역시,115198,2023,72269,2,153389,85559,29452,96146,0,81536,대곡동,261279,73220,0,1753,0,0,138426,63751,7,94993,154111,83608,36525,62429,177911,67662,113737,74024,0,93517,149132,157668,87799,133188,0,35935
13157,달서구,16093,0,18763,17766,6235,18516,508,18869,17865,35141,7569,0,대구광역시,10928,2023,24783,0,13404,8848,3087,9775,0,5706,대천동,31063,6726,0,364,0,0,13906,13131,0,24295,25334,6764,750,8018,49938,17681,12161,6369,0,8887,16369,54250,9140,23037,0,5218
112772,달서구,139249,0,32015,103011,17600,23292,2265,34900,116920,191850,21331,1,대구광역시,30152,2023,47337,0,31077,19365,30682,23621,0,13839,도원동,176558,81865,0,1514,0,0,108579,38210,5,65897,130156,17882,4439,18586,100127,16960,28404,19634,0,24109,108659,104911,23006,113198,0,9295
295383,달서구,331663,0,398580,336571,230640,449319,31647,462875,359565,377717,132474,0,대구광역시,244402,2023,198332,2,355471,175835,78296,269769,0,137200,두류동,504082,170264,0,27285,0,0,320016,188542,0,242964,448070,150961,59762,286688,456995,217662,305857,238223,0,256607,349215,441537,263242,359620,0,95000
65369,달서구,75525,0,34222,71147,20457,31590,2722,37423,81974,79130,18674,0,대구광역시,24270,2023,32878,0,29888,18242,13916,23732,0,13542,본동,96776,31943,0,2752,0,0,71597,31224,0,42860,103142,16827,2459,23558,85102,18859,27745,21807,0,24298,72992,86865,23692,80169,0,9996
63075,달서구,82291,0,40553,64320,23430,36001,2652,46045,68189,118432,25892,0,대구광역시,30276,2023,39045,0,38068,22247,15476,27775,0,17590,본리동,122346,47497,0,3590,0,0,61945,41017,0,54958,100888,21807,3323,27710,84707,25244,33071,25207,0,28244,70351,83507,27804,71154,0,15646
425453,달서구,484878,0,495127,440245,268724,378835,60126,565080,496384,529959,258662,1,대구광역시,361455,2023,327282,3,428851,249400,78458,322389,0,190714,상인동,645274,209809,0,17639,0,0,465623,291378,0,371919,590741,237785,105344,297840,576454,289845,378914,287474,0,311115,476583,530364,327845,511018,0,101263
156059,달서구,170760,0,80226,187062,57381,68072,9522,85181,190692,199061,64196,0,대구광역시,52891,2023,102791,1,81018,36308,36030,67247,0,25267,성당동,234829,88241,0,10097,0,0,166510,92941,0,139253,256660,33892,4527,60011,230866,48640,71870,58215,0,64097,184930,242136,68068,220437,0,26341
284272,달서구,320302,0,311121,266232,181123,280588,19390,372221,296371,323462,81295,0,대구광역시,226649,2023,136074,3,297487,165683,76749,217378,0,128927,송현동,427173,136697,0,12188,0,0,279961,120321,0,174612,307596,154900,58024,191370,303372,142727,245408,181578,0,208358,282864,304988,203809,293420,0,55841
201346,달서구,207160,0,231950,278921,187675,430163,56454,277327,257874,296257,196133,0,대구광역시,180510,2023,240741,2,205380,136510,52360,163589,0,129072,신당동,345748,114101,0,6595,0,0,218391,215815,0,269828,422051,127105,73279,205252,513851,248481,160819,157209,0,160478,276799,535838,167415,330439,0,84335
332338,달서구,407379,7,372617,334879,158553,332246,26293,447015,353875,497115,117231,15,대구광역시,260044,2023,200789,40,316962,184262,79800,214430,32,171605,용산동,629503,184711,8,21724,0,0,348241,160422,6,270459,424640,173813,84279,169352,450985,204167,275607,167908,35,194366,370364,406884,212887,368743,1,90406
171100,달서구,187585,0,60825,171558,41960,59322,9473,65062,186526,248731,96018,0,대구광역시,44717,2023,108202,0,59412,30951,29243,48165,0,22863,월성동,241271,86896,0,3373,0,0,176473,106125,0,133487,221120,28487,4946,42907,235021,35318,54725,42224,0,46886,178557,193041,48293,193412,0,14525
4564,달서구,3999,0,3746,13020,1323,7901,188,3149,9202,14704,4038,0,대구광역시,2951,2023,38630,0,1539,2128,1223,1672,0,424,월암동,20093,7234,0,250,0,0,5722,11599,0,23356,20346,895,61,1330,59887,12083,1696,1412,0,1155,8440,76331,1722,18157,0,3976
31863,달서구,45792,0,28628,32365,12518,25095,2132,34761,35073,92921,22636,1,대구광역시,21472,2023,25545,0,23918,16909,3248,15847,0,12121,유천동,77537,21414,0,877,0,0,30783,21620,1,36826,37523,13416,2413,17168,51593,24918,20561,13033,0,17316,33766,45594,16694,37466,0,11745
207328,달서구,218723,0,163724,270551,155471,194854,18888,193990,261470,358876,109260,0,대구광역시,113891,2023,155563,1,174847,80713,45486,167013,0,69340,이곡동,364754,141370,0,9217,0,0,226786,150692,0,188947,356741,79552,31859,143728,334892,96449,172123,159908,0,161801,250337,352041,168474,310169,1,47738
46710,달서구,53894,0,29711,53890,19750,26631,1910,29971,53029,67754,27562,0,대구광역시,17821,2023,46830,0,29051,13620,9212,21228,0,9036,장기동,86600,23316,0,3402,0,0,46606,40852,0,59790,79093,11325,1536,19975,83212,22589,24273,20567,0,23154,53141,84123,19884,61418,0,11514
4874,달서구,3203,0,5025,7057,2746,12810,208,5149,6556,10936,2304,0,대구광역시,4322,2023,10796,0,2544,2800,1397,3125,0,688,장동,9880,5844,0,1685,0,0,5857,4372,0,13924,14884,1418,85,4703,33851,18198,2719,2444,0,3173,5781,40252,3146,11066,0,11194
27533,달서구,35168,0,15101,33811,9020,16951,3174,21463,30485,43279,19814,0,대구광역시,9572,2023,27438,0,12637,6761,3949,10412,0,4886,죽전동,51922,15695,0,2077,0,0,26435,26906,0,34028,40425,6220,943,11818,54168,10479,11492,8464,0,9567,32347,49306,9902,38098,0,5620
339313,달서구,397413,0,444922,343792,213040,277804,38496,527633,372295,547201,160209,0,대구광역시,326902,2023,214187,9,395920,236581,65004,278677,0,203449,진천동,597107,176978,0,10933,0,0,351367,208650,0,283395,392749,212873,101557,232847,428793,176097,346297,241593,0,254561,367992,439699,285821,378440,0,87869
3664,달서구,4244,0,2210,3172,1893,2731,44,2110,3075,9902,711,0,대구광역시,2128,2023,2257,0,2066,1419,512,1569,0,1069,파호동,8267,1780,0,283,0,0,3303,1266,0,3690,4160,1356,130,1538,6416,2752,1924,1484,0,1449,4075,5136,1720,3251,0,915
958,달서구,608,0,1932,2806,1458,8539,175,2131,1568,1084,1813,0,대구광역시,1282,2023,6117,0,1697,1298,38,1731,0,965,호림동,1594,233,0,25,0,0,1083,2593,0,3261,3468,1162,305,2520,9585,4397,1653,1228,0,1612,1981,8735,1581,3205,0,1104
151363,달서구,142392,0,117461,187981,124035,318783,12392,132854,150363,165168,80198,0,대구광역시,93952,2023,95106,0,121845,87149,20717,111948,0,86262,호산동,187486,49180,0,2305,0,0,162573,74621,0,117957,264751,88397,53154,140469,260920,203648,103812,100216,0,94406,156009,406888,141026,222119,0,96962
46694,달성군,50825,1,10963,56231,16629,14096,271,9018,48817,41005,5259,0,대구광역시,6539,2023,20203,0,12292,4431,7364,12037,0,2789,가창면,46346,13740,0,229,0,0,42141,12571,0,26655,62724,3441,781,16076,61123,7433,12935,12686,0,13440,47815,69865,11861,60876,0,3478
24844,달성군,25996,0,6817,17936,3626,5654,169,7043,20954,46223,2903,0,대구광역시,7370,2023,13143,0,6301,5074,5877,5041,0,2700,구지면,34666,19100,0,41,0,0,20422,6354,0,14040,22191,3729,1050,2965,20440,8284,5641,4221,0,4612,19778,26302,4855,22141,0,2258
51207,달성군,59736,0,21693,51024,9885,29282,779,22496,54404,136019,9567,0,대구광역시,21517,2023,45198,0,16244,18473,15483,11930,0,6050,논공읍,90347,51912,0,1559,0,0,49656,19496,0,55013,63702,9699,1305,10974,75780,30459,14978,11246,0,12593,50129,91420,12848,56161,0,9443
380373,달성군,431433,0,403161,409345,208719,309320,25535,452164,404267,668241,124861,0,대구광역시,299171,2023,230807,6,369333,206025,68676,259694,0,182751,다사읍,651860,217563,0,2466,0,0,377475,177836,0,290385,485121,194450,95731,202737,518980,265899,306941,256695,0,256004,398727,513612,257078,441691,0,94321
62492,달성군,69969,0,19665,54446,14039,20769,2916,20034,66640,109999,15345,0,대구광역시,15993,2023,20245,0,18828,9617,13474,15912,0,7326,옥포읍,83848,38895,0,846,0,0,62536,18413,0,27938,66280,9365,2092,13669,54219,13771,19536,14343,0,14793,61757,69824,15009,55716,0,4936
43318,달성군,52018,0,31902,40377,25767,38107,2203,32333,49114,71040,21948,0,대구광역시,28886,2023,31631,1,31544,19822,11803,23008,0,14424,유가읍,61773,30406,0,3287,0,0,42695,32086,0,40261,70522,18156,4191,31877,61337,29223,25153,25179,0,27734,44803,66843,26543,46648,0,14245
4900,달성군,7332,0,290,3669,493,1443,2,474,3933,3517,68,0,대구광역시,262,2023,1551,0,389,277,546,481,0,278,하빈면,6947,985,0,5,0,0,5785,414,0,4373,5021,311,13,590,2950,360,426,541,0,493,4284,5012,465,5786,0,427
40507,달성군,38906,0,12463,39408,9557,12974,1689,12889,47125,63173,13277,0,대구광역시,8859,2023,23166,0,12217,7651,7360,10108,0,3908,현풍읍,52293,26680,0,390,0,0,40858,25400,0,27281,76877,5657,1341,8315,47315,8184,9994,8277,0,9536,40523,47480,9916,40227,0,3493
286649,달성군,305729,0,290578,289151,181844,271810,15647,303994,303307,383299,83813,1,대구광역시,203918,2023,166385,41,276711,143272,55726,198577,0,125589,화원읍,428017,130377,0,9805,0,0,294679,134301,0,203482,414056,146731,63602,196549,389821,208037,234654,237299,0,199217,308383,383509,205454,328133,0,97757
31419,동구,35001,0,16273,26861,9462,12221,1629,20820,30707,63685,13230,0,대구광역시,12384,2023,15539,0,16541,9956,5621,12729,0,7174,각산동,51459,13528,0,1110,0,0,28302,15988,7,17146,32354,8972,919,10399,33342,9696,16908,9605,0,11670,27533,33168,12003,32492,0,3135
65194,동구,75309,0,71075,74534,47359,68407,6018,81380,71383,76294,21065,1,대구광역시,49184,2023,33837,0,66412,37622,14619,55405,0,29275,검사동,100341,32290,0,3386,0,0,68602,29978,0,42598,77677,32494,16283,41898,85264,28732,63036,55750,0,58283,75119,84826,55931,75742,0,10917
158222,동구,185130,0,201142,162506,134920,276577,24242,209385,184026,181404,72469,0,대구광역시,139989,2023,88098,1,171368,116323,26537,127839,0,119852,괴전동,272893,67733,0,2985,0,0,163996,88764,12,124893,226001,117034,48724,176067,263836,108788,142484,132460,8,149208,173873,244599,136229,198580,0,49165
0,동구,0,0,0,0,4,0,0,0,0,0,0,0,대구광역시,0,2023,0,0,0,0,0,0,0,0,금강동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,동구,453,0,73,472,137,96,0,60,531,307,32,0,대구광역시,48,2023,132,0,63,25,48,90,0,25,내동,371,245,0,0,0,0,762,87,0,142,537,22,5,120,337,80,62,186,0,148,522,438,87,718,0,43
