발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
345,대덕구,21,0,0,6,18,18,0,3,3,3,0,0,대전광역시,33,2023,26,0,53,0,0,205,,0,갈전동,144,14,,0,,,112,5,0,4,41,16,0,202,181,70,26,114,0,70,209,0,15,320,0,0
17490,대덕구,21709,0,19640,19401,12024,56556,179,17855,21857,24358,4041,0,대전광역시,13000,2023,16375,0,17709,9771,3601,12740,,6103,대화동,28317,14584,,260,,,19287,11039,0,15651,29335,8349,1160,19432,51482,67116,16343,11268,0,14896,18838,63755,13704,23372,0,23872
15116,대덕구,17480,0,16822,14199,7795,11326,498,17984,14835,30330,3598,0,대전광역시,12714,2023,6532,0,17174,10123,2682,12048,,6514,덕암동,25878,15258,,176,,,14126,6273,0,8881,15344,9793,2102,7159,13251,5366,14200,8931,0,8680,15658,13758,9765,15382,0,3866
13926,대덕구,20848,0,28302,14375,11747,21799,1133,32108,13127,36996,5244,0,대전광역시,23748,2023,8814,0,26280,17568,2360,16075,,11192,목상동,34838,12962,,322,,,11783,7331,0,11323,16311,17158,4205,14622,18054,22323,21969,14345,0,15862,13924,17860,14418,13513,0,12443
4473,대덕구,6695,0,8348,5633,4789,31821,767,10105,5197,13108,4547,0,대전광역시,6092,2023,7892,0,6406,5445,459,5196,,3193,문평동,14468,4478,,1007,,,4199,6732,0,11463,14310,4446,1016,7878,20776,28957,5959,4522,0,6635,5025,20118,6026,8284,0,17398
691,대덕구,847,0,175,786,937,1178,0,486,11,480,1,0,대전광역시,294,2023,299,0,1244,247,0,216,,144,미호동,637,908,,0,,,885,167,0,634,1210,49,0,1099,922,271,713,743,0,130,1026,23,1226,1089,0,105
90710,대덕구,112769,0,101142,77138,49721,78657,1866,111052,95081,178421,17354,0,대전광역시,77296,2023,34546,0,104026,55071,23088,70071,,47694,법동,162560,72503,,3121,,,90737,26910,0,50801,88663,58491,11082,56672,86060,40368,86449,54750,0,65259,89412,90327,69108,86477,0,23251
49378,대덕구,59050,0,94706,42975,40521,58444,1040,107896,54682,98794,15145,0,대전광역시,76842,2023,24897,0,85848,53306,16783,54404,,44093,비래동,100017,38320,,472,,,48500,21078,0,31953,59961,56281,12546,41587,65764,41718,70278,44470,0,50063,50928,54846,52470,44420,0,15717
433,대덕구,107,0,41,45,152,63,0,226,14,27,1,0,대전광역시,21,2023,111,0,41,32,0,405,,9,삼정동,985,150,,0,,,719,10,0,13,55,111,0,408,389,160,295,457,0,131,420,6,101,463,0,81
13169,대덕구,14380,0,15784,13869,9995,34194,558,16410,13602,26773,2863,0,대전광역시,11245,2023,9572,0,15401,8964,815,12138,,6545,상서동,21722,11057,,372,,,11704,7418,0,11293,16248,8490,1312,12944,28828,30693,14631,10360,0,11386,12908,31327,12308,16062,0,16586
47426,대덕구,50505,0,45114,46763,26927,33801,2112,47862,51521,88214,16668,0,대전광역시,31095,2023,26977,0,52113,20578,9496,35132,,17206,석봉동,72250,36757,,476,,,47864,22074,0,34277,66488,21728,6120,28561,55917,26994,42914,28291,0,30453,49956,61632,33396,50802,0,9849
79490,대덕구,95609,0,112030,77025,43865,60561,2619,126817,89835,156392,53780,0,대전광역시,93159,2023,59273,2,101022,58526,17323,63570,,49850,송촌동,150080,51680,,1502,,,79892,64909,0,64174,101925,57429,13181,47529,103001,45925,79162,49230,0,56481,86300,105738,60116,89883,2,16092
26386,대덕구,27477,0,16842,25057,12044,20668,22,22131,26279,32984,5646,0,대전광역시,9364,2023,13133,0,17480,6991,3629,11494,,4383,신대동,37465,14514,,122,,,23611,11552,0,18219,32572,6417,21,11587,43698,10496,11964,9868,0,12654,24339,39051,10479,25499,0,4899
11436,대덕구,14270,0,19275,15253,9172,80789,4530,25488,13984,23714,9059,466,대전광역시,17463,2023,20008,0,17875,11694,2305,9807,,10023,신일동,29681,12794,,2169,,,10259,14672,2395,24588,29494,11183,6887,15972,57203,76312,12784,8341,0,10730,15557,71340,9041,21380,0,27581
