발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
38080,강서구,39499,9,48043,46239,36009,61711,4821,50693,47054,62198,10014,211,부산광역시,35192,2023,25536,676,34899,24724,12251,27307,5,19223,강동동,57626,22190,8,7843,0,0,36600,17041,1450,34128,67835,22698,13474,31932,70529,36985,27283,25483,16,29522,42878,105384,27437,52152,25,17314
1514,강서구,1810,0,985,2098,392,1747,18,666,1607,1079,217,0,부산광역시,959,2023,3078,0,632,388,194,591,0,122,구랑동,2282,244,0,11,0,0,1332,719,0,3350,4233,288,26,553,7162,1794,803,437,0,498,1344,9968,656,2312,0,192
5514,강서구,5824,0,1709,7829,1439,1614,63,2067,6546,7292,898,1,부산광역시,1431,2023,3850,0,2260,1112,1582,1719,0,389,녹산동,5725,3201,0,74,0,0,4588,1959,5,5431,9415,862,253,1705,8400,1750,1561,1221,0,1421,6756,9675,1361,7442,0,1648
342397,강서구,388111,94,467032,372592,228143,465074,42497,507476,389077,443192,91867,1289,부산광역시,279345,2023,188911,2053,382036,204454,116082,274525,41,133886,대저1동,557707,207907,56,39616,0,0,370957,145378,15110,251586,507709,167547,70849,250005,587166,294445,309679,247658,134,272176,381460,588937,271718,414864,201,139976
133392,강서구,143121,1,207805,167197,109920,260814,23057,237527,153356,197143,72986,1091,부산광역시,157804,2023,144252,3454,169061,106122,30613,137160,0,74731,대저2동,211248,77521,0,33842,0,0,137810,129185,9442,135453,237911,92003,47771,129976,252750,145336,152836,123216,0,142796,164321,288098,145038,194393,12,96265
680,강서구,2834,0,88,1662,91,129,16,105,1018,922,21,0,부산광역시,52,2023,108,0,113,20,592,162,0,6,대항동,1683,263,0,0,0,0,780,94,0,252,1076,15,5,163,546,61,174,167,0,188,698,701,116,2432,0,4
2167,강서구,201,0,95,1275,101,114,1,80,674,1477,4,0,부산광역시,35,2023,202,0,65,43,590,75,0,8,동선동,2209,949,0,9,0,0,1205,169,0,336,747,39,7,24,629,125,119,46,0,90,992,1827,79,1561,0,0
202203,강서구,237509,510,72108,201125,40865,56559,32498,74355,211884,331925,116006,5906,부산광역시,59870,2023,149355,244,64670,43103,34857,53824,1,31026,명지동,315251,136858,0,5535,0,1,202446,155367,3475,171160,324568,40720,13767,44934,258834,36123,57064,44056,634,48348,207985,275670,51124,242507,7,20770
967,강서구,767,0,633,1992,481,1363,0,695,1493,949,165,0,부산광역시,524,2023,2786,0,547,504,16,516,0,280,미음동,1370,325,0,2,0,0,1779,216,0,2153,4800,466,9,573,8250,1700,551,377,0,392,2356,10252,594,2394,0,94
2852,강서구,3215,0,1055,5582,623,2058,12,1176,3122,3083,345,0,부산광역시,872,2023,2619,0,1039,631,81,849,0,571,범방동,2283,1353,0,1,0,0,3122,1050,0,3795,5802,589,4,1007,5075,1695,785,807,0,850,2752,5454,830,4872,0,526
1180,강서구,1443,0,142,910,173,214,4,242,683,806,10,0,부산광역시,69,2023,291,1,212,183,2617,264,0,22,봉림동,1253,664,0,5,0,0,1226,123,0,437,1488,48,3,289,730,193,153,230,0,135,1714,1914,242,1138,0,75
