시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
서울특별시,강남구,개포동,2023,20291,7149,110978,73818,369912,407576,1043362,583026,1210146,817976,808359,507748,623626,414731,563321,371432,612492,443048,606358,508779,592276,514068,718189,614877,961162,697992,903163,775365,805139,962605,472902,831290,326891,564460,304332,544248,248927,611296,100494,304997,16112,69680,3733,13159,2014,4247,1676,2861
서울특별시,강남구,논현동,2023,53697,41044,226008,236859,436667,868513,926616,2007188,1546386,5575825,1458855,4871219,1052611,2276274,1044512,1480070,1197662,1382993,1334042,1514709,1527587,1431830,1770955,1357826,2094287,1462404,3310538,1814059,5336611,2310321,3088185,1501900,1927740,906100,1897846,822517,1628011,718937,842751,439139,218202,179570,38706,28154,24082,17172,21824,15637
서울특별시,강남구,대치동,2023,35188,33254,143682,173158,483693,536466,1248034,1493844,1578414,2410538,1101732,1767111,833094,1146854,839732,1030566,1049747,1182401,1205642,1368220,1163263,1269472,1371858,1403391,1612845,1671368,2084060,1823610,2186370,1708622,1446587,1198005,1126119,760675,1384771,750791,1838052,780820,434187,372869,134141,138287,30265,27341,16340,14495,15647,14388
서울특별시,강남구,도곡동,2023,15390,13332,126311,127189,418727,510840,1042979,1307686,1455333,2544549,1029881,1674316,828725,1000306,827774,887351,930175,941947,1000782,1072481,1047752,935653,1222443,982199,1432244,1131679,1963139,1445715,2386492,1627923,1264936,1091774,1053577,701974,963200,656335,904710,616862,262164,313429,51733,84302,8849,12843,4667,4013,3818,2914
서울특별시,강남구,삼성동,2023,33613,44135,265512,426022,606246,1793810,1281548,4872519,2096744,12387124,1738208,9264834,1404615,4321986,1689899,3129297,2084440,2928415,2464165,3099491,2889663,2721365,3570101,2456454,4550317,2493205,7272300,2818044,10574783,3078660,5480404,1890547,3836474,1150389,3470512,1007535,2462439,909606,823139,495324,164472,198195,30824,34562,18977,19181,16240,19846
서울특별시,강남구,세곡동,2023,9155,4968,43284,18343,109335,48946,267803,87484,265444,148301,157982,81372,114047,62004,100433,63745,113787,79960,107912,91815,104156,98027,120343,135651,136353,163125,144505,163581,138960,202333,87920,178564,59946,124388,54053,117503,47758,118492,19741,67013,7710,21729,2069,4990,57,107,1,0
서울특별시,강남구,수서동,2023,18074,12440,134864,161894,371120,647579,1034803,1313864,1474277,1861085,994403,1188249,985033,844039,791103,720018,998994,852050,939376,791350,762263,778923,1127059,908072,1270001,1069390,1501165,1258885,1798238,1584154,1046546,1133651,928643,776609,722546,686536,734461,620467,387042,254624,61916,68737,11435,8578,2300,2665,1608,1712
서울특별시,강남구,신사동,2023,27610,32778,205986,236659,312564,686006,586425,1451300,991185,3639348,901869,4203612,853796,2296737,994430,1823938,1188521,1620331,1356988,1740724,1598834,1620965,1874542,1561793,2179398,1615547,2879007,1901668,3982428,2144869,2824923,1306443,2130975,726242,1944864,601745,1587703,518249,687177,313265,142729,121331,5705,6941,806,872,66,0
서울특별시,강남구,압구정동,2023,17149,18833,45341,68899,68934,74717,136066,131750,177708,208592,151164,180720,137606,139833,152680,142354,186546,151057,205141,167519,227914,170451,273528,189665,310215,208679,309235,240636,362797,293841,286215,210893,261426,145315,230338,124342,217821,127358,110869,67111,35660,24587,1337,1172,1,3,0,0
서울특별시,강남구,역삼동,2023,91033,72859,498063,638967,1190197,2637898,2531380,7538635,3868837,16645694,3324394,15076685,2983150,7496804,3544902,5033559,4233342,4806384,4812257,5338236,5297253,4724454,6394144,4470724,7810126,4768898,12253383,5936676,16131792,7588580,9736645,4730240,6896170,2712169,7212216,2367199,6317241,2110715,2912961,1208034,652335,426530,103173,84354,79620,51385,61271,49274
