발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
273,세종시,106,0,1550,1099,1613,999,24,1224,690,137,803,0,세종특별자치시,1561,2023,2000,0,2157,727,0,1059,,95,가람동,143,50,,0,,,509,1580,0,1755,1716,352,24,1318,1528,913,1301,1414,0,1693,745,1756,1465,1049,0,232
52017,세종시,62718,0,76225,54817,28774,76891,8784,83059,53522,76708,24623,1535,세종특별자치시,69388,2023,32840,0,72424,44893,1661,47650,,39197,고운동,105489,34829,,635,,,47554,30163,3441,40851,96478,45086,18023,38485,67448,35577,53250,29718,0,38664,56945,80256,40962,64066,0,10242
20938,세종시,28169,9,23559,18835,16698,20408,2348,23376,18276,38775,4690,283,세종특별자치시,17224,2023,11848,0,29072,14313,2356,17029,,12058,금남면,39095,15675,,642,,,18794,8917,1647,11982,21372,15377,6391,21535,18663,19143,22355,20791,6,16130,18271,24252,17550,19434,0,6766
69991,세종시,83460,263,162537,91543,73595,171508,72242,222384,85238,128308,144074,23038,세종특별자치시,152946,2023,120143,159,140591,99327,16208,97790,,82495,나성동,189614,59032,,2196,,,75126,138721,20817,113765,126985,91432,53111,102615,176556,72318,105773,75480,149,78117,86975,140619,89526,109862,0,31190
2140,세종시,2612,5,3150,2355,2223,3881,1201,3468,1731,2929,1515,957,세종특별자치시,3113,2023,2296,0,2877,2372,39,2417,,1517,누리동,3163,1035,,120,,,2104,1457,725,2906,2739,1679,1377,3001,3681,3130,3221,2177,3,1884,2022,3196,2578,2865,0,1727
615,세종시,1204,5,1825,639,748,2581,173,1884,572,3063,386,25,세종특별자치시,1110,2023,767,0,1423,1285,52,663,,651,다솜동,2566,342,,43,,,511,655,112,923,1054,974,271,1125,1911,3135,1136,666,0,698,758,2019,895,782,0,561
33925,세종시,45056,0,58414,32425,20315,44904,7726,74996,37936,69536,19058,1625,세종특별자치시,54862,2023,22818,8,48061,35993,5013,32223,,33140,다정동,107872,26715,,235,,,32681,23206,2299,30916,45598,35881,16008,26227,44154,19906,38112,22908,0,27205,36371,43039,31441,39941,0,7052
48046,세종시,65208,370,94149,57777,55935,107847,21066,120287,57202,91832,44227,7634,세종특별자치시,75314,2023,57390,105,88616,54883,7341,62935,,51167,대평동,114174,31562,,4362,,,48673,53155,10792,70685,90636,60458,29354,69933,108502,75865,75709,52669,99,59490,60954,101048,62023,72880,1,32292
81807,세종시,101941,93,134175,86093,60445,129012,48592,206454,83693,133446,88820,13980,세종특별자치시,131289,2023,83867,0,121546,99103,13019,84423,,87974,도담동,184243,59841,,3420,,,78481,96354,15859,98342,123076,91694,48917,76563,133578,87592,99142,68835,218,70397,85395,137451,77245,106600,0,35297
28178,세종시,35879,194,42203,33519,19496,87604,8586,58979,31873,51629,16447,1689,세종특별자치시,44522,2023,27663,0,38079,32755,4038,27153,,35792,반곡동,79778,17357,,278,,,30892,21276,5247,39524,60898,35851,18988,50349,85638,31719,31803,18028,158,24656,35203,62034,26023,47126,0,7303
