발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
109,남구,114,0,117,535,2,20,3,37,517,91,16,0,울산광역시,9,2023,54,0,83,9,6,10,0,2,고사동,129,70,0,0,0,0,211,35,0,184,1709,3,0,4,715,8,26,16,0,6,1364,1253,14,873,0,2
0,남구,0,0,1,0,0,15,0,0,0,1,0,0,울산광역시,0,2023,0,0,0,0,1,0,0,0,남화동,4,6,0,0,0,0,0,0,0,70,0,0,0,0,192,116,0,0,0,0,0,51,0,1,0,65
213839,남구,215591,20,126484,280635,102555,94022,91272,130323,253724,189574,203520,5670,울산광역시,78195,2023,236324,3290,126900,60966,81650,115581,10,55517,달동,262958,128222,1,9824,0,0,243994,227927,3459,226408,326486,62385,28529,98089,356700,45603,120487,109494,49,100728,251366,338738,106518,313921,199,28146
24516,남구,27742,0,9643,26049,5357,9732,1942,8484,21123,34762,7466,19,울산광역시,6032,2023,14343,41,7935,5480,7393,5991,3,4246,두왕동,45560,13944,0,1703,0,0,22899,10901,88,16421,31422,5268,1635,6923,38134,7660,7185,4678,0,5709,24394,49300,5703,27482,0,4697
3473,남구,3056,0,1658,8239,1878,4766,116,1566,4282,3384,1411,0,울산광역시,901,2023,3136,0,1727,782,1210,2166,0,324,매암동,5720,3151,0,414,0,0,4480,2073,0,4739,13770,558,91,2073,14371,3019,2071,2199,0,1788,7324,15407,2263,8882,0,1865
308243,남구,323113,14,181014,386416,128070,159350,77644,175902,378380,319084,207906,9703,울산광역시,118941,2023,264253,1032,174555,90029,67923,138231,8,60201,무거동,409750,129128,11,8355,0,0,334121,264464,4001,300225,598698,85316,24239,143893,496883,101193,154382,125295,53,138139,379524,562098,141553,475228,83,35337
320,남구,68,0,19,833,14,40,5,31,349,115,25,0,울산광역시,32,2023,667,0,47,12,108,47,0,5,부곡동,63,372,0,212,0,0,394,149,0,424,1375,14,0,19,958,1091,59,25,0,40,853,1340,41,898,0,1160
342277,남구,321305,2,306884,470744,220282,206874,83925,266948,403282,249188,285102,5989,울산광역시,172933,2023,500748,2043,268500,155931,50204,240644,4,112882,삼산동,310029,118082,3,12696,0,0,372156,375985,18663,468791,615095,117809,60933,218022,637016,156415,262334,214754,0,235403,422034,650288,226754,562372,162,80640
8366,남구,6909,0,6183,9224,4898,7497,661,5501,7282,9030,2154,255,울산광역시,4640,2023,5371,204,5202,3361,839,4003,0,2282,상개동,8336,3742,0,538,0,0,7057,3191,705,6849,12293,2838,1280,3432,11772,16068,4541,3779,0,3503,7911,19354,4385,10713,150,6440
40406,남구,45537,0,12907,35597,6857,11841,1959,12317,34295,52034,5749,47,울산광역시,7202,2023,12904,162,11440,5283,8054,8005,5,3094,선암동,64611,20556,0,952,0,0,36713,8735,31,20527,35712,4256,922,7160,34130,8809,10480,7624,0,7893,35055,43296,7256,33320,0,4584
178,남구,168,0,39,1662,37,256,0,106,392,489,84,0,울산광역시,25,2023,379,0,107,32,176,20,0,7,성암동,460,358,0,396,0,0,252,165,0,735,1820,24,0,61,1334,986,39,47,0,55,1074,3039,54,1405,0,450
437115,남구,466087,47,296959,518719,239611,246906,70716,277490,533178,370689,217842,4582,울산광역시,170129,2023,292776,2989,308013,129621,109727,265643,6,96087,신정동,537072,223274,9,38893,0,0,493253,275665,2779,373170,788919,119609,34667,247578,648068,151672,286239,257908,56,251472,518496,668207,259365,675651,285,91051
122878,남구,144338,0,48165,120763,33122,28542,6221,44290,129293,134676,27939,493,울산광역시,27031,2023,54484,413,48383,19601,35185,39946,0,10940,야음동,178779,88819,1,4667,0,0,123174,39199,297,80760,151308,15674,3564,28922,129725,17598,45520,35293,2,36097,128199,151840,37944,129682,6,14807
1106,남구,774,0,1078,2626,555,1731,169,1243,1926,1425,821,0,울산광역시,965,2023,1737,0,746,386,225,739,0,192,여천동,1198,2416,0,388,0,0,1501,1198,0,2736,6069,318,42,529,7146,4336,725,489,0,512,2151,11457,593,3878,0,2856
83701,남구,89837,3,32800,117741,23190,28065,27778,32386,103836,80567,108031,2723,울산광역시,20607,2023,108357,283,33212,15829,26121,28301,0,10267,옥동,131887,43109,0,1480,0,0,93607,111999,921,112113,150288,13124,4465,27508,179971,11239,30180,24162,15,26531,113393,159562,29668,140272,6,4753
143,남구,213,0,45,208,17,223,7,7,384,261,0,0,울산광역시,7,2023,243,2,16,11,172,4,0,1,용연동,325,183,0,47,0,0,234,56,0,506,793,4,0,22,438,470,11,22,0,17,193,1743,8,638,0,660
0,남구,0,0,12,0,0,0,0,39,0,13,0,0,울산광역시,0,2023,0,0,0,0,0,0,0,0,용잠동,3,18,0,0,0,0,0,0,0,26,2,0,0,0,130,50,0,0,0,0,0,143,0,0,0,76
3344,남구,3151,0,710,3641,777,1691,4,536,3043,2431,330,0,울산광역시,369,2023,900,0,890,372,1189,820,0,306,장생포동,3618,1844,0,174,0,0,3633,798,0,1269,4239,411,59,1032,4074,514,939,748,0,660,3530,4359,835,3612,0,316
571,남구,467,0,277,2090,140,1076,2,96,1439,1161,170,0,울산광역시,65,2023,1159,0,141,65,344,87,0,25,황성동,604,1473,0,158,0,0,1028,386,0,1790,6596,32,0,118,3039,1856,78,99,0,215,1782,9042,103,3518,0,1650
23465,동구,21878,0,7328,20330,5575,6796,794,4029,17271,30982,3077,0,울산광역시,3564,2023,6850,0,6833,2373,2313,5748,0,982,동부동,34133,18259,0,562,0,0,17709,4439,0,9269,18849,1654,188,4785,11990,4015,5783,5045,0,5341,18571,21136,5868,15602,0,3378
