시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
인천광역시,강화군,강화읍,2023,6115,26,13259,422,39038,18028,96827,101307,98704,140186,98136,126041,100655,99811,105942,107408,103032,104756,110334,103056,109796,82052,122023,90171,113852,93993,113817,94331,91729,88309,59704,60933,45149,48372,22893,34385,10258,24008,704,16189,2774,10577,93,3423,31,375,56,2
인천광역시,강화군,교동면,2023,0,0,0,0,903,296,5876,1325,6591,3796,2173,2993,4142,1954,4624,5570,1894,4491,3055,4736,4724,2364,5155,4742,1368,4376,3840,2516,2636,2847,76,2107,662,115,248,2497,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,길상면,2023,0,0,1752,557,5765,1926,18146,11289,22630,21211,18071,18687,18784,20482,14198,14679,16069,15380,16283,14793,16636,15158,17137,13154,18460,16284,18793,19040,13663,15196,8329,10826,7926,10054,3319,8180,1410,6574,348,2729,72,703,0,0,0,0,0,0
인천광역시,강화군,내가면,2023,0,0,0,0,2486,318,6728,3236,8456,5539,5468,3821,6175,5929,2508,3672,6433,7337,1732,3638,6194,4856,2912,4489,5534,5111,3255,3638,2512,5306,2017,2540,1426,3622,455,178,38,657,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,불은면,2023,0,22,112,123,3922,1384,10745,4473,6759,7436,8078,5875,8977,3927,3785,5440,6870,5868,6091,5334,5247,5401,5727,6043,5317,5869,6330,6258,3211,6825,1890,3518,686,3176,377,1730,119,1042,34,315,13,95,0,0,0,0,0,0
인천광역시,강화군,삼산면,2023,0,0,0,0,1617,103,1989,907,4941,5275,1600,2585,3134,5120,2734,3950,3425,4149,3465,2295,4617,3584,3663,3779,4598,2875,2057,1570,695,1011,739,662,817,415,115,501,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,선원면,2023,7,5,776,227,4260,947,16597,4371,17044,5676,14428,6660,13271,5135,7904,6836,9139,5784,8208,7298,8447,7699,6594,9294,5942,11769,7183,14272,5395,12363,3305,7866,1946,5815,1167,4529,567,3140,234,680,81,270,0,0,0,0,0,0
인천광역시,강화군,송해면,2023,0,0,1,41,2456,418,6920,2034,8054,3407,6203,2706,5325,4284,3223,5998,2683,2915,4761,4224,2749,4726,2837,5558,2015,5246,2747,4795,1226,5383,533,2754,210,1816,113,1481,7,4,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,양도면,2023,0,0,271,18,3200,281,10444,4662,11672,4992,11042,3752,4957,4960,5566,6839,5192,7178,5082,5367,4554,4626,4260,5580,3653,6596,4807,7405,2424,7887,1610,3306,790,3090,741,1705,99,942,24,404,34,163,0,0,0,0,0,0
인천광역시,강화군,양사면,2023,0,0,0,0,2421,740,4711,700,3560,2057,5450,1503,2746,1658,2230,3819,802,913,3468,4081,1596,3865,938,1717,1266,2631,544,2843,384,1229,355,1686,160,813,31,643,0,2,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,하점면,2023,0,0,0,1,6563,747,8475,3030,12383,4867,13835,3910,5208,5901,7760,6133,5737,7489,4318,6848,6839,6758,3823,7324,3833,5484,4812,9428,2100,4984,1097,4586,980,3783,249,1049,64,385,0,0,0,0,0,0,0,0,0,0
인천광역시,강화군,화도면,2023,0,0,585,6,3395,1117,8530,3894,10292,8289,7590,8277,8528,9152,5824,6278,6948,8639,5056,4942,6742,6968,4416,5546,7825,7240,6263,5076,5067,5518,3605,2898,2707,3763,520,1629,111,989,47,465,1,86,0,0,0,0,0,0
인천광역시,계양구,갈현동,2023,5,39,291,430,131,1785,808,1993,991,4563,985,1792,952,1745,1070,2057,1377,2273,1794,2066,1501,1866,1588,2596,2146,2534,2292,2433,2475,2901,1388,2700,1508,1961,2064,1354,291,1408,163,741,28,151,0,0,0,0,0,0
인천광역시,계양구,계산동,2023,72734,13980,289330,105542,517236,247439,1087003,454893,1103024,1053638,675843,826524,566493,592463,597433,544918,657209,575072,664598,645522,632350,583853,742806,657847,840924,807575,892136,958267,923959,1241572,570983,930531,449253,615575,424938,544112,341591,496777,170827,306278,41994,120322,4997,23935,624,4003,1858,21
인천광역시,계양구,귤현동,2023,1767,663,205284,143598,632365,478112,1287234,858010,1127506,840651,675197,524744,467559,371278,422118,360131,429887,370223,420066,381942,401291,380038,507182,472233,589248,588873,715306,747009,918033,1101080,820462,952229,495504,577655,454914,529915,403732,483145,246627,302003,70771,96748,1042,2592,0,1,0,0
인천광역시,계양구,노오지동,2023,0,0,0,0,0,0,17,1,82,2,153,2,187,0,1,0,109,0,133,0,100,0,72,1,71,0,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,다남동,2023,65,216,794,13405,2221,38771,3251,73019,5278,59559,4195,33467,4066,22008,3118,19476,3582,17593,3585,15325,3640,13783,3704,16304,4373,20090,5466,20146,3933,19459,2805,12902,1812,9230,1609,7342,647,6965,350,3580,148,1067,12,28,0,0,0,0
인천광역시,계양구,동양동,2023,3151,289,34954,5022,70421,8997,153776,18519,156430,32964,90823,26817,71305,27629,65966,33447,65510,41833,61722,48981,54302,52397,57709,71099,57463,88804,54188,107498,53013,132157,34005,118573,24898,79611,19575,75829,16361,70100,10231,51555,3212,14580,230,974,1,0,0,0
인천광역시,계양구,둑실동,2023,0,0,0,0,24,242,469,489,451,640,282,30,482,871,535,654,1088,643,703,481,101,391,852,277,804,496,773,45,1103,708,746,170,377,65,0,0,30,50,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,목상동,2023,0,0,492,614,377,3131,501,4432,736,3860,904,3409,1455,2824,1334,2195,1790,2093,2689,1543,2574,1743,1765,1364,2175,1941,1589,1337,1236,1045,542,1122,366,731,154,593,156,384,7,199,0,0,0,0,0,0,0,0
인천광역시,계양구,박촌동,2023,2933,910,55588,19973,107061,43000,247085,95108,257964,197771,148828,82397,116417,68944,110481,70899,112760,79481,109916,87026,96583,84855,112054,111261,153206,130065,135920,161648,132485,221700,90576,176730,62680,111294,52909,111519,39237,101966,24534,62776,7348,27402,484,379,0,0,0,0
인천광역시,계양구,방축동,2023,1214,108,3972,626,6944,2438,14424,4238,16521,12828,12132,9512,10579,9712,10022,8594,10210,8312,10254,9620,10401,10307,10668,12569,24873,12856,13643,13599,13542,17567,8998,16301,5182,9829,3606,8777,2733,8208,927,4919,368,1889,9,84,0,0,0,0
인천광역시,계양구,병방동,2023,710,18,17268,6767,33684,19313,63794,46077,73151,69225,45333,37654,41448,36434,47976,39864,51692,40322,49990,42903,51616,46625,59514,55782,71899,59174,61156,63526,64989,75810,46056,55688,32354,47165,27331,45079,23672,43298,14387,27873,4414,7784,201,1165,0,0,0,0
인천광역시,계양구,상야동,2023,0,0,212,495,1132,3300,2018,6540,2709,11067,1845,3604,1364,1686,1457,2111,1736,2119,2466,1565,2397,1457,3514,1504,3648,1476,5553,2031,5117,1963,2194,1912,2201,1585,1117,1251,933,1051,462,890,140,149,7,2,0,0,0,0
인천광역시,계양구,서운동,2023,271,0,9624,4729,17993,32796,41749,81641,47925,95246,24491,19778,23162,14031,22685,14284,28908,18492,24525,20180,23902,20238,38411,22765,47477,27032,82417,34584,64225,47703,28549,47156,30419,26710,16296,22109,9094,20496,3051,13105,146,3820,7,813,2,188,39,0
인천광역시,계양구,선주지동,2023,0,0,0,0,211,87,138,508,130,976,17,11,147,353,128,229,114,95,176,140,146,180,101,212,132,138,211,125,0,0,72,93,25,56,0,0,7,44,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,오류동,2023,23,9,2393,1705,3694,5295,9685,7505,11445,13208,6897,8357,6168,7051,5507,7985,6191,9014,6036,10388,6008,10662,6540,18224,8424,18342,7470,21569,6822,26347,5521,29132,3676,18758,2861,17765,2122,15258,1203,11976,647,4654,64,271,0,0,0,0
인천광역시,계양구,용종동,2023,266,52,9335,2133,24504,4801,53296,12017,44104,33235,28644,17419,22537,13592,23667,13744,21479,16776,21656,18494,17922,18149,22702,21513,35763,27222,23737,31038,23071,33817,17544,26662,14280,17724,14656,17425,12139,17013,7060,10088,623,2186,2,667,0,0,1,0
인천광역시,계양구,이화동,2023,0,0,0,0,30,6,2595,465,2657,258,566,298,798,241,480,221,433,414,556,387,132,162,407,512,321,334,331,254,132,143,232,328,44,164,0,0,60,153,0,0,0,0,0,0,0,0,0,0
인천광역시,계양구,임학동,2023,1531,1697,85429,17258,199060,48571,447885,104626,416700,202954,234256,138904,184024,120790,183294,132292,189698,145810,180463,159199,165851,159807,173917,191245,190839,230985,195362,300471,227013,440711,151161,354328,104887,211129,83518,187088,68005,160639,39497,104773,8538,48544,369,415,0,0,0,0
인천광역시,계양구,작전동,2023,17699,4316,278941,116162,536898,297514,1155290,566525,1160532,866860,660219,522763,542499,416396,558009,428946,598373,454425,559315,497716,505174,488653,579048,571158,688197,683282,761476,865723,819047,1147055,521567,902154,385261,572875,354080,522412,300809,456316,158624,291206,35654,96902,3261,11466,397,1320,671,1
인천광역시,계양구,장기동,2023,2230,195,21574,4527,46771,8548,92135,21310,97689,47158,59327,22241,43269,19781,42490,20910,39744,25275,36989,27480,35615,28352,36971,45694,44124,46213,39035,52276,39180,65250,22173,63538,18559,42385,14997,37765,11706,35843,6886,24795,1699,9988,221,1626,0,0,0,0
인천광역시,계양구,하야동,2023,0,0,41,329,203,1755,331,2248,475,2659,652,2097,610,1026,638,1115,608,1328,919,1150,996,1218,1089,1219,1141,1171,1352,1139,1402,1643,596,1435,583,882,511,657,179,532,104,382,38,144,1,7,0,0,0,0
인천광역시,계양구,효성동,2023,5015,213,105420,27061,220955,75341,466865,164123,441819,305209,247714,123873,195813,110548,192131,124978,202030,151143,202986,171258,183764,161849,226052,235838,216204,262943,260402,313534,255737,390369,140676,322461,102833,233985,76798,218482,61944,199408,25102,125833,3590,32729,54,430,15,108,0,0
인천광역시,남동구,간석동,2023,17942,8107,459774,190006,762521,365031,1705470,721516,1696807,1435427,1021332,769633,819632,650492,817180,692533,866850,833772,857894,908401,817809,820990,954212,919806,1115505,1077444,1155033,1330697,1291410,1710749,698311,1211174,533109,875989,477996,772036,359244,648245,171874,389351,31754,126591,532,8212,66,660,1,0
인천광역시,남동구,고잔동,2023,176,13,10363,27901,24027,178952,33609,534875,65559,520436,32533,88752,35701,44940,43794,41343,51379,51653,55611,45139,71475,40509,79138,35042,118320,37751,429186,55844,326154,62495,114981,65111,161494,45529,61651,23043,20122,14094,4325,7705,112,1000,1,20,0,0,1,0
