발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
1780,강진군,1833,0,0,2244,0,0,0,0,1612,2935,0,0,전라남도,0,2023,2,0,0,0,36,0,0,0,강진읍,4532,817,0,0,,,1549,0,0,1718,2223,0,0,0,3424,0,0,0,0,0,1689,6188,0,2335,0,0
167,강진군,160,0,0,89,0,0,0,0,43,342,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,군동면,353,238,0,0,,,115,0,0,17,97,0,0,0,158,0,0,0,0,0,107,322,0,122,0,0
150,강진군,18,0,0,117,0,0,0,0,64,563,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,대구면,133,97,0,0,,,103,0,0,20,77,0,0,0,228,0,0,0,0,0,55,206,0,50,0,0
159,강진군,157,0,0,122,0,0,0,0,175,73,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,도암면,481,392,0,0,,,68,0,0,19,188,0,0,0,173,0,0,0,0,0,193,884,0,161,0,0
204,강진군,18,0,0,120,0,0,0,0,110,865,0,0,전라남도,0,2023,1,0,0,0,0,0,0,0,마량면,172,73,0,0,,,284,0,0,44,177,0,0,0,232,0,0,0,0,0,82,161,0,112,0,0
82,강진군,22,0,0,63,0,0,0,0,51,116,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,병영면,14,5,0,0,,,1,0,0,0,53,0,0,0,55,0,0,0,0,0,17,15,0,72,0,0
49,강진군,311,0,0,183,0,0,0,0,40,249,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,성전면,238,7,0,0,,,101,0,0,6,28,0,0,0,62,0,0,0,0,0,118,373,0,370,0,0
180,강진군,271,0,0,130,0,0,0,0,120,232,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,신전면,475,96,0,0,,,80,0,0,56,158,0,0,0,95,0,0,0,0,0,169,62,0,123,0,0
24,강진군,31,0,0,0,0,0,0,0,18,0,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,옴천면,3,0,0,0,,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,3,0,0
61,강진군,224,0,0,20,0,0,0,0,63,61,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,작천면,74,100,0,0,,,11,0,0,0,72,0,0,0,91,0,0,0,0,0,42,115,0,38,0,0
184,강진군,331,0,0,277,0,0,0,0,183,597,0,0,전라남도,0,2023,0,0,0,0,1,0,0,0,칠량면,288,326,0,0,,,64,0,0,18,294,0,0,0,156,0,0,0,0,0,146,178,0,415,0,0
15087,고흥군,17903,0,0,13623,0,0,0,0,15735,30041,0,0,전라남도,0,2023,3434,0,0,0,912,0,0,0,고흥읍,24841,7696,0,0,,,14153,1162,0,10150,22102,0,0,0,17524,0,0,0,0,0,13592,25961,0,14593,0,0
1036,고흥군,1042,0,0,834,0,0,0,0,969,2042,0,0,전라남도,0,2023,77,0,0,0,46,0,0,0,과역면,2336,420,0,0,,,849,123,0,448,1393,0,0,0,1002,0,0,0,0,0,840,1438,0,1063,0,0
25,고흥군,3,0,0,3,0,0,0,0,2,16,0,0,전라남도,0,2023,2,0,0,0,0,0,0,0,금산면,17,4,0,0,,,1,10,0,0,66,0,0,0,7,0,0,0,0,0,4,3,0,11,0,0
184,고흥군,207,0,0,144,0,0,0,0,179,881,0,0,전라남도,0,2023,17,0,0,0,5,0,0,0,남양면,425,113,0,0,,,254,7,0,95,342,0,0,0,295,0,0,0,0,0,201,346,0,163,0,0
157,고흥군,171,0,0,82,0,0,0,0,91,230,0,0,전라남도,0,2023,16,0,0,0,4,0,0,0,대서면,321,111,0,0,,,92,11,0,56,122,0,0,0,102,0,0,0,0,0,90,130,0,92,0,0
619,고흥군,911,0,0,625,0,0,0,0,678,1740,0,0,전라남도,0,2023,104,0,0,0,78,0,0,0,도덕면,1706,415,0,0,,,690,75,0,450,1113,0,0,0,864,0,0,0,0,0,715,1262,0,806,0,0
1585,고흥군,1683,0,0,1295,0,0,0,0,1546,3468,0,0,전라남도,0,2023,235,0,0,0,78,0,0,0,도양읍,2831,806,0,0,,,1532,176,0,1121,2358,0,0,0,1516,0,0,0,0,0,1486,2550,0,1551,0,0
535,고흥군,566,0,0,380,0,0,0,0,552,1513,0,0,전라남도,0,2023,139,0,0,0,27,0,0,0,도화면,1275,494,0,0,,,365,11,0,437,705,0,0,0,408,0,0,0,0,0,479,732,0,445,0,0
438,고흥군,625,0,0,337,0,1,0,0,418,1343,0,0,전라남도,0,2023,21,0,0,0,11,0,0,0,동강면,679,298,0,0,,,423,13,0,199,618,0,0,0,403,0,0,0,0,0,250,962,1,405,0,0
15,고흥군,46,0,0,24,0,0,0,0,3,29,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,동일면,38,22,0,0,,,44,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,38,0,0
393,고흥군,459,0,0,437,0,0,0,0,399,931,0,0,전라남도,0,2023,102,0,0,0,14,0,0,0,두원면,683,235,0,0,,,440,96,0,305,544,0,0,0,394,0,0,0,0,0,438,570,0,455,0,0
143,고흥군,194,0,0,129,0,0,0,0,193,431,0,0,전라남도,0,2023,17,0,0,0,24,0,0,0,봉래면,431,153,0,0,,,205,7,0,161,220,0,0,0,209,0,0,0,0,0,158,304,0,191,0,0
83,고흥군,113,0,0,49,4,0,0,0,7,112,0,0,전라남도,0,2023,0,0,0,0,18,3,0,0,영남면,73,139,0,0,,,75,0,0,13,30,0,0,0,26,0,2,2,0,0,262,30,0,42,0,0
263,고흥군,315,0,0,239,0,0,0,0,364,785,0,0,전라남도,0,2023,28,0,0,0,12,0,0,0,점암면,564,159,0,0,,,347,47,0,147,471,0,0,0,308,0,0,0,0,0,321,435,0,406,0,0
1870,고흥군,1890,0,0,1326,0,0,0,0,1729,2984,0,0,전라남도,0,2023,50,0,0,0,26,0,0,0,포두면,3699,1354,0,0,,,1432,0,0,583,1424,0,0,0,892,0,0,0,0,0,1616,1549,0,1152,0,0
579,고흥군,839,0,0,570,0,0,0,0,515,1301,0,0,전라남도,0,2023,139,0,0,0,37,0,0,0,풍양면,1257,354,0,0,,,680,29,0,554,870,0,0,0,825,0,0,0,0,0,680,1302,0,831,0,0
161,곡성군,424,0,0,141,0,0,0,0,309,330,0,0,전라남도,0,2023,143,0,0,0,0,0,0,0,겸면,1047,152,0,0,,,126,0,0,12,91,0,0,0,168,0,0,0,0,0,94,166,0,400,0,0
137,곡성군,112,0,0,114,0,0,0,3,119,509,0,0,전라남도,0,2023,6,0,0,0,0,0,0,0,고달면,405,7,0,0,,,241,0,0,41,43,0,0,0,81,2,0,0,0,3,232,42,1,219,0,0
2243,곡성군,2319,0,234,2121,67,79,0,28,2450,4783,0,0,전라남도,52,2023,289,0,97,30,14,30,0,0,곡성읍,3207,609,0,0,,,2989,3,0,2136,3414,1,0,85,5957,69,2,8,0,81,2691,5917,51,2680,0,60
173,곡성군,269,0,0,190,0,0,0,0,526,889,0,0,전라남도,0,2023,5,0,0,0,0,0,0,0,목사동면,1209,252,0,0,,,111,0,0,16,249,0,0,0,202,0,0,0,0,0,176,506,0,159,0,0
435,곡성군,435,0,0,312,0,0,0,0,461,1987,0,0,전라남도,0,2023,25,0,0,0,0,0,0,0,삼기면,926,211,0,0,,,218,0,0,133,232,0,0,0,381,0,0,0,0,0,379,497,0,340,0,0
1086,곡성군,602,0,0,527,0,0,0,0,784,3009,0,0,전라남도,0,2023,70,0,0,0,0,0,0,0,석곡면,1140,30,0,0,,,588,0,0,214,673,0,0,0,776,0,0,0,0,0,567,1654,0,551,0,0
346,곡성군,350,0,0,328,0,0,0,0,503,807,0,0,전라남도,0,2023,15,0,0,0,0,0,0,0,오곡면,457,370,0,0,,,416,0,0,109,399,0,0,0,541,0,0,0,0,0,593,329,0,269,0,0
156,곡성군,250,0,0,293,0,0,0,0,206,275,0,0,전라남도,0,2023,0,0,0,0,0,0,0,0,오산면,219,15,0,0,,,151,0,0,62,212,0,0,0,648,0,0,0,0,0,318,205,0,491,0,0
1614,곡성군,1789,0,0,2064,0,0,0,0,2454,3742,0,0,전라남도,0,2023,2479,0,0,0,0,0,0,0,옥과면,2307,506,0,0,,,1801,0,0,2627,3835,0,0,0,3945,0,0,0,0,0,1747,4497,0,1719,0,0
855,곡성군,287,0,0,559,0,0,0,0,447,2126,0,0,전라남도,0,2023,27,0,0,0,0,0,0,0,입면,1802,114,0,0,,,206,0,0,89,147,0,0,0,160,0,0,0,0,0,251,177,0,225,0,0
474,곡성군,420,0,0,201,0,0,0,0,365,1069,0,0,전라남도,0,2023,2,0,0,0,0,0,0,0,죽곡면,1162,269,0,0,,,375,0,0,52,241,0,0,0,210,0,0,0,0,0,239,385,0,328,0,0
115788,광양시,119744,0,38179,126340,33812,37741,114,30251,122510,168349,25733,0,전라남도,19149,2023,72440,0,39176,14776,2755,33647,0,5312,광양읍,211768,52516,0,24,,,105030,76787,0,93477,186503,14096,206,35749,145236,30099,39598,34536,0,33707,132415,178068,33840,164486,0,8782
12281,광양시,16516,0,2114,14007,1534,1520,4,1614,14586,21875,1930,0,전라남도,1338,2023,6381,0,2608,787,0,1931,0,495,광영동,29478,2538,0,0,,,11963,9248,0,9841,30870,723,4,1688,13589,1169,2188,1699,0,1460,15001,28551,1761,19658,0,53
6530,광양시,5575,0,1552,7374,861,949,14,987,10071,7315,824,0,전라남도,1162,2023,4040,0,1641,952,0,1381,0,712,금호동,7850,819,0,0,,,5828,3639,0,4539,14648,929,174,581,9359,381,2071,1051,0,2388,9060,10394,1254,12440,0,82
