발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
3,고창군,11,0,0,4,0,0,0,0,0,8,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,고수면,27,0,0,0,0,0,13,0,0,0,2,0,0,0,4,0,0,0,0,0,2,2,0,3,0,0
3712,고창군,4280,0,0,3226,0,0,0,0,3218,6106,0,0,전라북도,0,2023,1110,0,0,0,0,0,0,0,고창읍,5653,822,0,0,0,0,3104,38,0,1782,4804,0,0,0,3037,0,0,0,0,0,3503,4104,0,3484,0,0
609,고창군,784,0,0,607,0,0,0,0,583,1186,0,0,전라북도,0,2023,214,0,0,0,0,0,0,0,공음면,1057,130,0,0,0,0,681,12,0,263,936,0,0,0,497,0,0,0,0,0,658,699,0,693,0,0
34,고창군,65,0,0,49,0,0,0,0,55,251,0,0,전라북도,0,2023,1,0,0,0,0,0,0,0,대산면,102,2,0,0,0,0,43,0,0,0,21,0,0,0,67,0,0,0,0,0,24,50,0,102,0,0
11,고창군,18,0,0,5,0,0,0,0,10,15,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,무장면,16,3,0,0,0,0,4,0,0,1,13,0,0,0,5,0,0,0,0,0,19,7,0,24,0,0
5,고창군,17,0,0,4,0,0,0,0,5,25,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,부안면,13,0,0,0,0,0,20,0,0,0,3,0,0,0,3,0,0,0,0,0,6,1,0,3,0,0
14,고창군,19,0,0,4,0,0,0,0,2,19,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,상하면,12,1,0,0,0,0,6,0,0,1,5,0,0,0,9,0,0,0,0,0,2,3,0,0,0,0
705,고창군,879,0,0,427,0,0,0,0,414,2130,0,0,전라북도,0,2023,15,0,0,0,0,0,0,0,성내면,1077,264,0,0,0,0,632,0,0,150,573,0,0,0,334,0,0,0,0,0,413,543,0,496,0,0
19,고창군,6,0,0,26,0,0,0,0,3,24,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,성송면,28,0,0,0,0,0,13,0,0,2,3,0,0,0,3,0,0,0,0,0,8,17,0,4,0,0
2,고창군,57,0,0,21,0,0,0,0,47,119,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,신림면,241,0,0,0,0,0,122,0,0,25,17,0,0,0,8,0,0,0,0,0,2,55,0,1,0,0
7,고창군,24,0,0,1,0,0,0,0,3,15,0,0,전라북도,0,2023,0,0,0,0,0,0,0,0,심원면,26,5,0,0,0,0,12,0,0,1,1,0,0,0,2,0,0,0,0,0,7,12,0,6,0,0
26,고창군,19,0,0,19,0,0,0,0,11,23,0,0,전라북도,0,2023,1,0,0,0,0,0,0,0,아산면,34,0,0,0,0,0,25,0,0,1,7,0,0,0,2,0,0,0,0,0,13,9,0,8,0,0
35,고창군,34,0,0,34,0,0,0,0,27,16,0,0,전라북도,0,2023,7,0,0,0,0,0,0,0,해리면,68,1,0,0,0,0,47,0,0,5,23,0,0,0,25,0,0,0,0,0,16,18,0,34,0,0
275,고창군,215,0,0,167,0,0,0,0,185,235,0,0,전라북도,0,2023,25,0,0,0,0,0,0,0,흥덕면,229,22,0,0,0,0,153,0,0,45,145,0,0,0,100,0,0,0,0,0,152,213,0,173,0,0
89,군산시,141,0,53,596,2,31,0,2,37,39,0,0,전라북도,4,2023,22,0,1,2,0,53,0,4,개사동,505,0,0,0,0,0,549,9,0,43,16,1,0,5,47,2,24,141,0,8,115,233,21,99,0,0
2003,군산시,1713,0,744,2488,617,1822,0,682,4061,1924,70,0,전라북도,534,2023,511,0,792,410,0,493,0,562,개정동,1956,628,0,0,0,0,2369,360,0,1104,6201,605,151,765,1781,631,612,505,0,490,2173,2825,417,4403,0,37
1606,군산시,2398,0,921,1388,625,997,1,574,1542,2968,24,0,전라북도,354,2023,101,0,1078,317,0,747,0,237,개정면,2775,392,0,0,0,0,1750,80,0,380,1326,343,7,757,1082,589,685,585,0,654,1587,1154,774,919,0,183
11816,군산시,10774,0,11230,16398,8812,7705,10,9240,14139,15413,5482,0,전라북도,5545,2023,10814,0,11428,3403,118,10258,0,1296,경암동,17169,3485,0,4,0,0,12081,8674,0,11476,17632,2934,79,8542,20683,4791,9930,9733,0,10517,14721,20677,11441,16447,0,1900
14994,군산시,16447,0,11330,16527,8676,12176,14,10299,18888,16471,5762,0,전라북도,5607,2023,11117,0,11910,4722,267,9168,0,1819,경장동,22365,4182,0,37,0,0,16675,9724,0,13226,25213,3078,5,10132,23636,7525,10262,8670,0,9364,17127,25935,9571,22227,0,2725
3385,군산시,4595,0,2682,2439,1189,1354,2,2415,2536,8080,229,0,전라북도,1245,2023,825,0,3054,973,39,2000,0,591,구암동,6708,1606,0,3,0,0,3107,632,0,1117,2280,1170,13,1404,2521,1109,1979,1421,0,1951,3188,2966,1828,2188,0,394
3262,군산시,3422,0,1754,4806,1266,2673,0,1448,6791,3773,1717,0,전라북도,837,2023,2388,0,1882,477,0,1416,0,267,금광동,5451,907,0,0,0,0,4262,3646,0,4262,13669,514,0,1226,7643,2062,1576,1500,0,1619,5665,11768,1673,4564,0,83
2,군산시,0,0,0,2,22,6,0,0,1,0,0,0,전라북도,0,2023,0,0,9,0,0,14,0,0,금동,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
209,군산시,190,0,292,320,338,290,0,164,543,249,75,0,전라북도,136,2023,112,0,276,60,0,332,0,22,금암동,265,5,0,0,0,0,460,110,0,172,372,58,0,335,325,169,422,474,0,262,658,386,530,346,0,39
59422,군산시,67821,0,40166,54304,21533,27500,1093,32966,60268,87727,17502,0,전라북도,19567,2023,31030,0,34501,12155,1381,27379,0,8412,나운동,120018,30389,0,167,0,0,54071,28435,0,37369,70149,11917,545,23686,57145,13807,32748,25095,0,24282,60576,67204,28203,65702,0,3470
1419,군산시,2353,0,485,857,299,751,0,255,912,1991,1,0,전라북도,211,2023,43,0,397,223,0,304,0,47,나포면,2162,937,0,0,0,0,1463,55,0,223,668,99,0,483,460,252,427,396,0,378,1544,1794,442,1231,0,49
