발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
31758,서귀포시,39030,0,26905,31545,14490,19968,538,27053,31064,55112,4972,13,제주특별자치도,19547,2023,14673,0,25431,14971,2335,20246,3,9020,강정동,56263,23451,0,10,,,30729,11110,4,17685,40823,13960,1055,12913,30351,12565,22015,14590,1,17167,32721,36366,16968,35393,0,4482
69252,서귀포시,75242,0,47611,55874,43151,48039,190,42170,64481,96226,6142,0,제주특별자치도,31125,2023,18466,0,46445,22669,2112,33802,0,12644,남원읍,85768,38029,0,42,,,58406,14557,0,24221,68504,20499,1391,40340,47200,35127,43658,41874,0,40726,62494,66321,35604,62983,0,14308
52154,서귀포시,53532,0,41196,51064,36813,55874,36,41190,48284,65973,4237,0,제주특별자치도,31330,2023,18373,0,46651,22545,5554,38207,0,11853,대정읍,69556,29040,0,21,,,52664,16735,0,26877,78435,19175,3407,35567,45852,35768,39723,36188,0,37105,45637,52568,34726,57565,0,7506
6004,서귀포시,5768,0,4166,7016,5330,9330,60,3964,6537,8077,428,0,제주특별자치도,2531,2023,2214,0,5831,1911,12,4051,0,748,대포동,8712,2693,0,0,,,5939,1435,0,3644,22483,2040,250,5155,7493,5745,4547,4584,0,4266,8073,10429,4146,22719,0,922
3212,서귀포시,3747,0,2358,3468,1668,2180,37,2095,2974,3615,202,0,제주특별자치도,1641,2023,741,0,2378,1445,111,1621,0,705,도순동,5020,917,0,0,,,3183,526,0,1049,2746,1106,119,1310,2194,1120,2210,1823,0,1747,3759,3037,1402,3507,0,405
48903,서귀포시,50265,0,55196,47717,34368,29704,3656,52165,54287,87533,8313,0,제주특별자치도,34549,2023,28699,0,62834,23310,607,36017,0,10085,동홍동,73775,20075,0,50,,,46143,24509,6,29760,69862,22370,3296,27938,56214,24138,48450,31759,0,35683,47098,46770,33649,50846,0,4908
40059,서귀포시,43966,0,48930,42655,28777,34140,1329,50076,42438,53851,12199,17,제주특별자치도,31637,2023,27671,0,47455,22775,4622,37172,0,9870,법환동,53697,25489,0,75,,,41754,28624,51,33173,54881,17944,3599,27478,55393,23590,40405,31802,11,33441,41651,55450,36591,47076,0,7178
4736,서귀포시,7363,0,3808,4637,2653,1824,29,2447,5083,7374,224,0,제주특별자치도,2588,2023,1316,0,3154,1356,0,1726,0,580,보목동,9491,3515,0,0,,,4598,576,0,2142,3665,1569,18,1755,2916,1126,3283,3776,0,2543,5472,4448,2625,4334,0,106
5180,서귀포시,6496,0,5013,5847,3923,2922,26,3377,5197,6849,465,0,제주특별자치도,3281,2023,2452,0,4525,2804,13,3722,0,1698,상예동,7849,4168,0,101,,,5542,1616,0,2867,7406,2410,66,3286,4555,2107,4504,4382,0,3517,7437,6213,3435,5358,0,799
6461,서귀포시,7781,0,4667,10088,5128,12823,25,4412,7828,8300,453,0,제주특별자치도,2548,2023,1729,0,5628,2370,0,4609,0,2033,상효동,8490,3498,0,0,,,5995,985,0,2629,20475,1845,442,5164,9019,7933,4447,4817,0,5185,8795,11475,4043,17230,0,1171
