발생량_10시,시군구,발생량_09시,도착량_01시,도착량_17시,발생량_14시,도착량_10시,도착량_08시,발생량_23시,도착량_18시,발생량_12시,발생량_07시,발생량_22시,발생량_00시,시도,도착량_19시,년도,발생량_20시,발생량_04시,도착량_16시,도착량_20시,발생량_05시,도착량_14시,발생량_02시,도착량_22시,읍면동,발생량_08시,발생량_06시,도착량_02시,도착량_05시,도착량_03시,발생량_03시,발생량_11시,발생량_21시,도착량_00시,발생량_19시,발생량_16시,도착량_21시,도착량_23시,도착량_09시,발생량_18시,도착량_07시,도착량_15시,도착량_11시,발생량_01시,도착량_12시,발생량_13시,발생량_17시,도착량_13시,발생량_15시,도착량_04시,도착량_06시
46333,괴산군,50237,0,0,33788,0,0,0,0,30064,51058,0,0,충청북도,0,2023,2289,0,0,0,121,0,0,0,괴산읍,58168,12392,0,0,0,0,38727,317,0,15256,30679,0,0,0,28345,0,0,0,0,0,46437,36343,0,34045,0,0
0,괴산군,169,0,1,59,0,4,0,4,81,88,0,0,충청북도,1,2023,0,0,0,0,0,8,0,0,청천면,11,0,0,0,0,0,1,0,0,9,0,0,0,1,30,5,0,0,0,1,0,0,0,0,0,0
677,단양군,5126,0,0,1317,0,0,0,0,516,4611,0,0,충청북도,0,2023,3,0,0,0,0,0,0,0,가곡면,1291,234,0,0,0,0,2811,0,0,207,2314,0,0,0,815,0,0,0,0,0,2242,756,0,444,0,0
2681,단양군,4712,0,0,1991,0,0,0,0,1732,4565,0,0,충청북도,0,2023,841,0,0,0,0,0,0,0,단성면,4725,211,0,0,0,0,2663,145,0,553,6153,0,0,0,913,0,0,0,0,0,2214,5175,0,3695,0,0
23667,단양군,21684,0,358,23053,140,139,0,251,28699,21517,990,0,충청북도,293,2023,11177,0,466,160,0,439,0,0,단양읍,33518,4877,0,0,0,0,22920,9176,0,16358,36377,95,0,174,27848,114,286,361,0,691,23198,32459,393,27845,0,36
4630,단양군,3125,0,6,2485,0,45,0,0,169,6162,0,0,충청북도,0,2023,273,0,21,0,0,0,0,0,대강면,4140,558,0,0,0,0,2438,448,0,435,2635,0,0,6,870,0,0,0,0,0,1636,1373,0,1499,0,0
7625,단양군,9943,0,256,6683,107,148,0,203,7177,17790,53,0,충청북도,58,2023,948,0,231,126,0,258,0,45,매포읍,15007,2345,0,0,0,0,6130,1262,0,1963,5751,180,0,92,4032,74,198,192,0,242,6820,6269,229,5240,0,138
103,단양군,1292,0,7,493,0,75,0,67,450,1212,0,0,충청북도,0,2023,0,0,49,0,0,0,0,0,어상천면,495,121,0,0,0,0,1349,0,0,112,536,0,0,11,60,0,94,82,0,123,70,183,0,257,0,2
3174,단양군,3721,0,116,1132,14,24,0,74,1689,6084,0,0,충청북도,8,2023,0,0,1,0,0,18,0,0,영춘면,3504,7,0,0,0,0,386,0,0,424,888,0,0,188,1882,53,319,84,0,262,2047,1270,2,4211,0,0
0,단양군,2815,0,1,444,0,5,0,0,680,1043,0,0,충청북도,0,2023,3,0,22,0,0,0,0,0,적성면,2722,0,0,0,0,0,407,0,0,54,328,0,0,1,385,0,0,0,0,0,455,279,0,157,0,0
2621,보은군,3371,0,0,1237,0,0,0,0,2127,3616,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,내북면,3300,0,0,0,0,0,1357,0,0,212,753,0,0,0,499,0,0,0,0,0,1972,1006,0,670,0,0
12609,보은군,18022,0,0,5972,0,0,0,0,10524,12581,0,0,충청북도,0,2023,21,0,0,0,0,0,0,0,마로면,19667,2084,0,0,0,0,10598,0,0,1115,6414,0,0,0,3323,0,0,0,0,0,9738,4819,0,7349,0,0
16058,보은군,12441,0,0,16882,0,0,0,0,21734,12176,0,0,충청북도,0,2023,54,0,0,0,0,0,0,0,보은읍,13966,4720,0,0,0,0,19383,0,0,2198,19241,0,0,0,14199,0,0,0,0,0,18207,19786,0,21076,0,0
3267,보은군,6155,0,0,974,0,0,0,0,2794,2744,0,0,충청북도,0,2023,1,0,0,0,0,0,0,0,산외면,1448,51,0,0,0,0,1604,0,0,53,675,0,0,0,400,0,0,0,0,0,1866,489,0,955,0,0
3487,보은군,2860,0,0,2717,0,0,0,0,1703,3275,0,0,충청북도,0,2023,21,0,0,0,0,0,0,0,삼승면,1285,7,0,0,0,0,3193,0,0,669,1769,0,0,0,1170,0,0,0,0,0,2668,1122,0,1751,0,0
1385,보은군,2545,0,0,221,0,0,0,0,194,692,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,속리산면,760,3,0,0,0,0,2,0,0,13,149,0,0,0,179,0,0,0,0,0,1360,432,0,130,0,0
2177,보은군,1642,0,0,526,0,0,0,0,742,2956,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,수한면,1442,7,0,0,0,0,1053,0,0,46,287,0,0,0,211,0,0,0,0,0,871,149,0,749,0,0
365,보은군,3209,0,0,497,0,0,0,0,1661,1843,0,0,충청북도,0,2023,3,0,0,0,0,0,0,0,장안면,1970,108,0,0,0,0,757,0,0,150,1280,0,0,0,1100,0,0,0,0,0,1148,671,0,339,0,0
1359,보은군,3680,0,0,669,0,0,0,0,1610,2222,0,0,충청북도,0,2023,1,0,0,0,0,0,0,0,탄부면,1919,29,0,0,0,0,1024,0,0,55,1520,0,0,0,124,0,0,0,0,0,1031,490,0,578,0,0
1533,보은군,2153,0,1089,810,915,1163,1,1001,1657,1736,5,0,충청북도,589,2023,79,0,456,378,79,1144,0,172,회남면,622,634,0,0,0,0,1830,65,0,242,1705,264,63,761,688,1801,1161,1450,0,1904,2529,1352,1755,1209,0,66
3542,보은군,4212,0,1004,1958,1266,247,0,563,1056,6922,56,0,충청북도,22,2023,2,0,57,7,0,802,0,23,회인면,464,473,0,0,0,0,993,4,0,120,116,383,0,971,1688,156,29,586,0,37,1859,498,1135,941,0,612
1492,영동군,5455,0,52,2010,20,196,0,64,1033,5338,0,0,충청북도,85,2023,35,0,34,2,0,166,0,0,매곡면,4021,307,0,0,0,0,2459,0,0,544,984,0,0,80,930,7,56,123,0,38,890,76,16,1051,0,7
3384,영동군,7006,0,246,1995,184,267,0,74,2219,7372,0,0,충청북도,29,2023,68,0,131,18,0,88,0,0,상촌면,4896,128,0,0,0,0,1265,0,0,289,1043,0,0,70,937,124,173,59,0,103,2272,1599,286,1994,0,12
4615,영동군,9083,0,187,2936,135,71,0,193,2873,5183,0,0,충청북도,62,2023,112,0,103,139,0,48,0,0,심천면,9945,701,0,0,0,0,5298,0,0,809,2236,0,0,153,638,30,168,91,0,172,2752,1189,249,1903,0,12
6773,영동군,7753,0,224,3861,175,224,0,179,2165,9535,0,0,충청북도,278,2023,100,0,204,3,0,178,0,0,양강면,6376,1054,0,0,0,0,2656,0,0,660,1065,0,0,279,1733,166,220,139,0,210,3823,1383,351,2165,0,21
2759,영동군,6486,0,58,2549,180,74,0,92,2208,6285,0,0,충청북도,40,2023,20,0,88,3,0,64,0,0,양산면,4376,44,0,0,0,0,2933,0,0,164,1119,0,0,57,150,7,78,34,0,96,1366,1520,88,1999,0,8
53395,영동군,41371,0,2720,41185,3250,3985,0,2003,37823,19675,0,0,충청북도,1303,2023,150,0,2407,262,74,2534,0,0,영동읍,33693,9867,0,0,0,0,44052,0,0,16144,41477,0,0,2719,25696,1940,2660,2047,0,1878,56761,39207,3118,35572,0,304
5079,영동군,11963,0,509,3221,169,168,0,212,3101,5231,0,0,충청북도,433,2023,192,0,324,24,0,287,0,0,용산면,5605,2154,0,0,0,0,3152,0,0,931,1269,0,0,423,1701,181,329,97,0,303,2883,3243,390,1800,0,45
14,영동군,0,0,67,52,2,0,0,202,22,4399,0,0,충청북도,0,2023,0,0,0,0,0,118,0,0,용화면,2,15,0,0,0,0,1629,0,0,2,6,0,0,0,400,19,8,98,0,0,0,0,0,659,0,2
2775,영동군,1729,0,296,1859,16,0,0,20,536,842,0,0,충청북도,0,2023,98,0,0,0,0,302,0,0,추풍령면,968,453,0,0,0,0,406,73,0,162,280,0,0,122,469,0,0,0,0,0,724,1336,3,357,0,12
6406,영동군,10014,0,238,3297,327,125,0,247,5545,8844,0,0,충청북도,138,2023,134,0,382,24,0,198,0,0,학산면,10777,298,0,0,0,0,3822,0,0,1022,4204,0,0,157,537,30,313,168,0,351,3574,1240,440,3495,0,5
7723,영동군,7412,0,195,3765,307,178,0,238,2829,8218,0,0,충청북도,100,2023,196,0,486,44,0,194,0,0,황간면,6925,141,0,0,0,0,3943,0,0,910,5145,0,0,277,3523,226,293,133,0,436,5092,2221,255,2795,0,215
7676,옥천군,8105,0,3868,7938,3699,5565,8,2753,5862,8825,260,0,충청북도,3181,2023,708,0,4532,2231,0,3779,0,1659,군북면,8409,5179,0,0,0,0,6910,338,0,2164,4825,2094,141,4958,4743,4324,3032,4789,0,3973,5389,6236,3403,4884,0,3866
7875,옥천군,9578,0,0,6900,0,0,0,0,6644,7047,0,0,충청북도,0,2023,6,0,0,0,0,0,0,0,군서면,8780,673,0,0,0,0,8736,0,0,1718,6110,0,0,0,3911,0,0,0,0,0,7370,5492,0,5169,0,0
6519,옥천군,10279,0,0,4907,0,0,0,0,6445,8270,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,동이면,8174,756,0,0,0,0,7148,0,0,1033,3607,0,0,0,3006,0,0,0,0,0,5616,2722,0,6201,0,0
4241,옥천군,5208,0,0,4721,0,0,0,0,3858,5205,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,안남면,7643,756,0,0,0,0,6030,0,0,2039,4081,0,0,0,670,0,0,0,0,0,5653,3907,0,3921,0,0
2874,옥천군,9830,0,0,4075,0,0,0,0,5652,9841,0,0,충청북도,0,2023,117,0,0,0,0,0,0,0,안내면,8167,232,0,0,0,0,7249,0,0,960,4801,0,0,0,2918,0,0,0,0,0,6934,4567,0,3761,0,0
45130,옥천군,43282,0,28217,38965,20689,28156,14,27754,45419,38018,4635,0,충청북도,21623,2023,8714,0,30870,11853,0,20527,0,18685,옥천읍,45822,15594,0,0,0,0,38298,7164,0,15248,33505,13803,4071,17498,30000,14290,24018,20457,0,21148,38139,33866,21464,29820,0,6980
9908,옥천군,19644,0,0,12847,0,0,0,0,14262,11859,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,이원면,8253,759,0,0,0,0,15006,0,0,2774,10451,0,0,0,4543,0,0,0,0,0,9622,6706,0,9896,0,0
3292,옥천군,3693,0,135,2788,175,27,0,71,3891,6581,0,0,충청북도,31,2023,265,0,141,74,0,13,0,0,청산면,3908,1,0,0,0,0,3559,0,0,1228,2539,0,0,130,742,47,187,68,0,137,1634,2669,144,2657,0,0
2287,옥천군,4061,0,0,2504,0,0,0,0,2531,5822,0,0,충청북도,0,2023,8,0,0,0,0,0,0,0,청성면,5930,132,0,0,0,0,3055,0,0,473,1764,0,0,0,1016,0,0,0,0,0,2417,1424,0,2303,0,0
796,음성군,1400,0,777,1211,68,5,0,224,1210,1400,1,0,충청북도,117,2023,474,0,18,207,0,311,0,45,감곡면,1198,406,0,0,0,0,664,31,0,514,874,75,0,1208,1401,41,142,2,0,933,774,1018,51,1300,0,215
104,음성군,114,0,0,86,0,0,0,0,93,53,0,0,충청북도,0,2023,20,0,0,0,0,0,0,0,금왕읍,70,0,0,0,0,0,70,6,0,62,196,0,0,0,92,0,0,0,0,0,84,99,0,138,0,0
87,음성군,79,0,0,110,0,0,0,0,68,316,0,0,충청북도,0,2023,105,0,0,0,0,0,0,0,대소면,76,0,0,0,0,0,111,33,0,89,52,0,0,0,29,0,0,0,0,0,98,93,0,75,0,0
0,음성군,14,0,0,3,0,0,0,0,10,12,0,0,충청북도,0,2023,0,0,0,0,0,0,0,0,맹동면,9,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,6,0,0
930,음성군,1355,0,2618,1071,302,1006,0,1161,1142,1457,0,0,충청북도,59,2023,448,0,1318,1090,0,920,0,0,삼성면,3141,0,0,0,0,0,1620,0,0,504,1413,0,0,670,1568,447,91,957,0,859,884,1313,858,750,0,0
9514,제천시,12231,0,1140,7496,894,502,0,1106,8001,23610,11,0,충청북도,671,2023,3380,0,1383,507,0,989,0,66,강제동,16810,1787,0,0,0,0,8092,2090,0,4330,9751,391,0,691,6725,294,1196,685,0,1168,9221,7197,1293,7854,0,209
1594,제천시,480,0,46,2032,64,91,0,26,580,1052,328,0,충청북도,46,2023,375,0,66,18,0,49,0,3,고명동,367,9,0,0,0,0,422,316,0,969,2083,46,0,24,1214,52,114,21,0,32,1311,2229,68,3120,0,0
4492,제천시,6645,0,1159,4172,586,424,0,689,4784,8206,3,0,충청북도,457,2023,916,0,988,324,0,701,0,15,고암동,6696,897,0,0,0,0,5404,320,0,1184,4321,220,0,871,2683,245,1060,676,0,788,4016,4493,681,3580,0,31
175,제천시,154,0,78,202,172,26,0,9,205,269,0,0,충청북도,55,2023,30,0,71,45,0,41,0,0,교동,261,153,0,0,0,0,139,4,0,169,163,12,0,524,204,102,121,84,0,76,217,185,160,314,0,96
1366,제천시,4073,0,190,1076,111,285,0,232,884,3899,0,0,충청북도,398,2023,357,0,200,69,0,209,0,0,금성면,4341,28,0,0,0,0,1864,70,0,622,1691,19,0,189,1004,68,141,149,0,229,1800,682,445,1037,0,27
634,제천시,792,0,392,554,500,463,0,263,711,734,2,0,충청북도,155,2023,321,0,471,227,0,318,0,3,남천동,1713,51,0,0,0,0,553,241,0,435,868,177,0,400,786,211,413,242,0,362,538,861,324,665,0,0
91,제천시,209,0,25,102,14,74,0,21,100,298,0,0,충청북도,10,2023,17,0,12,13,0,4,0,0,대랑동,96,1,0,0,0,0,133,3,0,62,48,14,0,6,53,13,156,11,0,31,93,68,7,105,0,29
139,제천시,208,0,130,262,30,188,0,13,330,472,0,0,충청북도,23,2023,88,0,269,8,0,52,0,0,덕산면,208,26,0,0,0,0,96,0,0,118,1170,0,0,33,73,53,152,121,0,237,746,1036,135,677,0,1
1231,제천시,2212,0,245,1676,203,392,0,199,1780,2911,25,0,충청북도,421,2023,963,0,279,138,0,199,0,15,동현동,3267,509,0,0,0,0,1462,937,0,1232,3716,184,0,204,2285,79,206,148,0,194,2051,2947,229,1489,0,31
